Value,Year,ProviderType,Purpose
384072,2012,COLLEGE,EDUCATION
2946493,2012,COLLEGE,EDUCATION
1109094,2012,COLLEGE,EDUCATION
7580797,2012,COLLEGE,EDUCATION
796283,2012,COMPANY,EDUCATION
1334015,2012,COMPANY,EDUCATION
392993,2012,COLLEGE,EDUCATION
104079,2012,COLLEGE,EDUCATION
2301092,2012,COLLEGE,EDUCATION
3009878,2012,COLLEGE,EDUCATION
315793,2012,COLLEGE,EDUCATION
1916963,2012,COLLEGE,EDUCATION
23444,2012,COMPANY,EDUCATION
1205298,2012,COMPANY,EDUCATION
1009375,2012,COMPANY,EDUCATION
5999260,2012,COMPANY,EDUCATION
128244,2012,COMPANY,EDUCATION
1910387,2012,COMPANY,EDUCATION
1950930,2012,COMPANY,EDUCATION
16623,2012,UNIVERSITY,EDUCATION
161393,2012,COLLEGE,EDUCATION
309381,2012,COLLEGE,EDUCATION
679161,2012,COMPANY,EDUCATION
1310127,2012,COMPANY,EDUCATION
1335934,2012,COLLEGE,EDUCATION
3742553,2012,COLLEGE,EDUCATION
119831,2012,COLLEGE,EDUCATION
1126362,2012,COLLEGE,EDUCATION
5467378,2012,COLLEGE,EDUCATION
115447,2012,COLLEGE,EDUCATION
1233556,2012,COLLEGE,EDUCATION
5516418,2012,COLLEGE,EDUCATION
605,2012,COMPANY,EDUCATION
793257,2012,COMPANY,EDUCATION
966899,2012,COMPANY,EDUCATION
705466,2012,COMPANY,EDUCATION
2155668,2012,COMPANY,EDUCATION
116151,2012,COMPANY,EDUCATION
619165,2012,COMPANY,EDUCATION
437496,2012,COMPANY,EDUCATION
437897,2012,COMPANY,EDUCATION
62254,2012,COMPANY,EDUCATION
1453364,2012,COMPANY,EDUCATION
806595,2012,COLLEGE,EDUCATION
6203438,2012,COLLEGE,EDUCATION
187216,2012,COMPANY,EDUCATION
857982,2012,COMPANY,EDUCATION
542142,2012,COLLEGE,EDUCATION
2849177,2012,COLLEGE,EDUCATION
11345590,2012,COLLEGE,EDUCATION
4805,2012,COMPANY,EDUCATION
528379,2012,COMPANY,EDUCATION
1719606,2012,COMPANY,EDUCATION
192264,2012,COMPANY,EDUCATION
1101657,2012,COMPANY,EDUCATION
65259,2012,COLLEGE,EDUCATION
1017129,2012,COLLEGE,EDUCATION
6468631,2012,COLLEGE,EDUCATION
221936,2012,COLLEGE,EDUCATION
4448167,2012,COLLEGE,EDUCATION
271682,2012,COMPANY,EDUCATION
521915,2012,COMPANY,EDUCATION
61184,2012,COLLEGE,EDUCATION
195639,2012,COMPANY,EDUCATION
4076415,2012,COMPANY,EDUCATION
104006,2012,COMPANY,EDUCATION
1555003,2012,COMPANY,EDUCATION
606170,2012,COLLEGE,EDUCATION
2272295,2012,COLLEGE,EDUCATION
34855,2012,COLLEGE,EDUCATION
457804,2012,COMPANY,EDUCATION
6285840,2012,COMPANY,EDUCATION
693849,2012,COLLEGE,EDUCATION
3312291,2012,COLLEGE,EDUCATION
418147,2012,COMPANY,EDUCATION
760852,2012,COMPANY,EDUCATION
40158,2012,COLLEGE,EDUCATION
219143,2012,COLLEGE,EDUCATION
