,Institution,Year,Purpose,Region,Value
128,AIRBUSOPERATIONS,2015,BUSINESS,SOUTH WEST,19055757
129,AIRBUSOPERATIONS,2016,BUSINESS,SOUTH WEST,18412442
130,ALBERTLUDWIGSUNIVERSITYFREIBURG,2016,RESEARCH,OUTSIDE UK,89180
131,ALDERTRAINING,2012,EDUCATION,UNKNOWN,2458505
132,ALDERTRAINING,2013,EDUCATION,UNKNOWN,3825594
133,ALDERTRAINING,2014,EDUCATION,UNKNOWN,3002897
134,ALDERTRAINING,2015,EDUCATION,UNKNOWN,2976834
135,ALDERTRAINING,2016,EDUCATION,UNKNOWN,1821374
136,ALLIANCELEARNING,2012,EDUCATION,UNKNOWN,1405568
137,ALLIANCELEARNING,2013,EDUCATION,UNKNOWN,1972453
138,ALLIANCELEARNING,2014,EDUCATION,UNKNOWN,2002074
139,ALLIANCELEARNING,2015,EDUCATION,UNKNOWN,2154752
140,ALLIANCELEARNING,2016,EDUCATION,UNKNOWN,1629060
141,ALLIEDHEALTHCARE,2012,EDUCATION,UNKNOWN,270438
142,ALLOTROPEENERGY,2016,RESEARCH,NORTH WEST,118761
143,ALLTRADESTRAINING,2012,EDUCATION,UNKNOWN,28683
144,ALLTRADESTRAINING,2013,EDUCATION,UNKNOWN,165910
145,ALLTRADESTRAINING,2014,EDUCATION,UNKNOWN,213588
146,ALLTRADESTRAINING,2015,EDUCATION,UNKNOWN,289913
147,ALLTRADESTRAINING,2016,EDUCATION,UNKNOWN,351791
148,ALMACDIAGNOSTICS,2013,BUSINESS,NORTHERN IRELAND,2267635
149,ALPHABUILDINGSERVICESENGINEERING,2012,EDUCATION,UNKNOWN,244985
150,ALPHABUILDINGSERVICESENGINEERING,2013,EDUCATION,UNKNOWN,723946
151,ALPHABUILDINGSERVICESENGINEERING,2014,EDUCATION,UNKNOWN,658550
152,ALPHACAREAGENCY,2014,EDUCATION,UNKNOWN,6096
153,ALPHACAREAGENCY,2015,EDUCATION,UNKNOWN,500
154,ALTONCOLLEGE,2012,EDUCATION,UNKNOWN,368949
155,ALTONCOLLEGE,2013,EDUCATION,UNKNOWN,257745
156,ALTONCOLLEGE,2014,EDUCATION,UNKNOWN,180432
157,ALTONCOLLEGE,2015,EDUCATION,UNKNOWN,148031
158,ALTONCOLLEGE,2016,EDUCATION,UNKNOWN,104999
159,ALTVALLEYCOMMUNITYTRUST,2012,EDUCATION,UNKNOWN,6055
160,ALTVALLEYCOMMUNITYTRUST,2013,EDUCATION,UNKNOWN,225677
161,ALTVALLEYCOMMUNITYTRUST,2014,EDUCATION,UNKNOWN,135528
162,ALTVALLEYCOMMUNITYTRUST,2015,EDUCATION,UNKNOWN,110213
163,ALTVALLEYCOMMUNITYTRUST,2016,EDUCATION,UNKNOWN,115943
164,AMERICANUNIVERSITYOFBEIRUT,2016,RESEARCH,OUTSIDE UK,389398
165,AMERSHAMANDWYCOMBECOLLEGE,2012,EDUCATION,UNKNOWN,4413823
166,AMERSHAMWYCOMBECOLLEGE,2012,EDUCATION,UNKNOWN,58981
167,AMERSHAMWYCOMBECOLLEGE,2012,KNOWLEDGE EXCHANGE,UNKNOWN,58981
168,AMERSHAMWYCOMBECOLLEGE,2013,EDUCATION,UNKNOWN,3797495
169,AMERSHAMWYCOMBECOLLEGE,2013,RESEARCH,UNKNOWN,184749
170,AMERSHAMWYCOMBECOLLEGE,2014,EDUCATION,UNKNOWN,3505287
171,AMERSHAMWYCOMBECOLLEGE,2015,EDUCATION,UNKNOWN,2871753
172,AMERSHAMWYCOMBECOLLEGE,2016,EDUCATION,UNKNOWN,2486157
173,ANALOXSENSORTECHNOLOGY,2015,RESEARCH,YORKSHIRE AND THE HUMBER,449177
174,ANDERSONSTOCKLEYACCREDITEDTRAINING,2012,EDUCATION,UNKNOWN,23025
