LeadROName,ProjectCategory,year,AwardPounds
GE AVIATION SYSTEMS LIMITED,BUSINESS,2017,23062670
GE ENERGY POWER CONVERSION UK LIMITED,RESEARCH,2016,828355
GEA PROCESS ENGINEERING LIMITED,RESEARCH,2017,800808
GEN3D LTD,EDUCATION,2018,128740
GENDIUS LIMITED,RESEARCH,2017,373860
GENEDRIVE PLC,RESEARCH,2017,598614
GENEDRIVE PLC,RESEARCH,2018,1107958
GENEFIRST LIMITED,RESEARCH,2018,350000
GENEFIRST LIMITED,RESEARCH,2018,449173
GENGAME LTD,RESEARCH,2018,279295
GENUS PLC,RESEARCH,2015,191994
GEOCENTO LIMITED,RESEARCH,2018,35352
GEOGREEN POWER LIMITED,RESEARCH,2017,685319
GEOMATIC VENTURES LIMITED,RESEARCH,2017,173853
GEOSPATIAL INSIGHT LIMITED,RESEARCH,2017,1084237
GERMINAL HOLDINGS LIMITED,RESEARCH,2015,246912
GERMINAL HOLDINGS LIMITED,RESEARCH,2016,264816
GERMINAL HOLDINGS LIMITED,RESEARCH,2017,522113
GETTRIK LTD.,RESEARCH,2018,487200
GEV WIND POWER LIMITED,RESEARCH,2017,542081
GKN AEROSPACE SERVICES LIMITED,BUSINESS,2014,7042373
GKN AEROSPACE SERVICES LIMITED,BUSINESS,2016,4000000
GKN AEROSPACE SERVICES LIMITED,BUSINESS,2017,4850000
GKN AEROSPACE SERVICES LIMITED,BUSINESS,2018,15000000
GKN AUTOSTRUCTURES LIMITED,RESEARCH,2016,3327305
GKN HYBRID POWER LIMITED,RESEARCH,2018,4001349
GKN HYBRID POWER LIMITED,RESEARCH,2018,199636
GLASGOW CALEDONIAN UNIVERSITY,BUSINESS,2017,152534
GLASGOW CALEDONIAN UNIVERSITY,BUSINESS,2018,92263
GLASGOW CALEDONIAN UNIVERSITY,RESEARCH,2014,1927516
GLASGOW SCHOOL OF ART,BUSINESS,2017,118019
GLASGOW SCHOOL OF ART,BUSINESS,2018,69531
GLASGOW SCHOOL OF ART,RESEARCH,2017,582192
GLASGOW SCHOOL OF ART,RESEARCH,2018,197398
GLASS TECHNOLOGY SERVICES LTD,RESEARCH,2017,1318985
GLASS TECHNOLOGY SERVICES LTD,RESEARCH,2018,494382
GLASS TECHNOLOGY SERVICES LTD,RESEARCH,2017,235096
GLAXOSMITHKLINE PLC,RESEARCH,2018,191964
GLAXOSMITHKLINE RESEARCH & DEVELOPMENT LIMITED,RESEARCH,2016,634526
GLIALIGN LIMITED,RESEARCH,2018,100001
GLYCOSELECT (UK) LIMITED,RESEARCH,2017,293620
GLYTHERA LIMITED,RESEARCH,2017,756165
GNEWT CARGO LIMITED,RESEARCH,2017,1104701
GNOSYS GLOBAL LTD,RESEARCH,2018,498009
GNOSYS GLOBAL LTD,EDUCATION,2016,262755
GO JAUNTLY LTD,RESEARCH,2018,41623
GOLD STANDARD PHANTOMS LIMITED,RESEARCH,2018,69737
GOLDSMITHS COLLEGE,EDUCATION,2017,566774
GOLDSMITHS COLLEGE,EDUCATION,2018,288399
GOLDSMITHS COLLEGE,RESEARCH,2015,27011
GOLDSMITHS COLLEGE,RESEARCH,2017,4602276
GOLDSMITHS COLLEGE,RESEARCH,2018,2785038
GOODRICH ACTUATION SYSTEMS LIMITED,BUSINESS,2016,2889587
GOODRICH ACTUATION SYSTEMS LIMITED,BUSINESS,2018,3277266
GORDON MURRAY DESIGN LIMITED,RESEARCH,2016,1857490
GORDON MURRAY DESIGN LIMITED,RESEARCH,2018,2486067
GR8 ENGINEERING LIMITED,RESEARCH,2018,69324
GRANTA DESIGN LIMITED,RESEARCH,2018,958893
GRANTA DESIGN LIMITED,RESEARCH,2018,259616
GRAVITRICITY LIMITED,RESEARCH,2018,639327
GRAVITY SKETCH LIMITED,RESEARCH,2017,69732
GREAT BRITISH SPORTS CARS LIMITED,RESEARCH,2018,2096890
GREATER LONDON AUTHORITY,RESEARCH,2018,185282
GREATER MANCHESTER STRATEGIC CLINICAL NETWORKS,RESEARCH,2018,975572
GREEN BIOLOGICS LIMITED,RESEARCH,2017,320304
GREEN BIOLOGICS LIMITED,RESEARCH,2018,333036
GREEN BIOLOGICS LIMITED,RESEARCH,2017,758612
GREEN BIOLOGICS LIMITED,RESEARCH,2018,280744
GREEN FUELS RESEARCH LTD,RESEARCH,2017,1008893
GREEN RUNNING LIMITED,RESEARCH,2018,191077
GREENBANK TEROTECH LIMITED,RESEARCH,2016,356709
GREENCORE FOOD TO GO LIMITED,RESEARCH,2015,308024
GREENCORE PREPARED MEALS LIMITED,RESEARCH,2016,575382
GREENGAGE LIGHTING LTD,RESEARCH,2015,171141
GREENSKILL LIMITED,RESEARCH,2017,69999
GREENSPUR RENEWABLES LIMITED,RESEARCH,2017,1259058
GRID SMARTER CITIES LTD,RESEARCH,2017,449288
GRID SMARTER CITIES LTD,RESEARCH,2018,227401
GRIPABLE LIMITED,RESEARCH,2017,448607
GROUP-MUV! LIMITED,RESEARCH,2018,69729
GROWN URBAN LIMITED,RESEARCH,2018,8414
GRWP LLANDRILLO MENAI,BUSINESS,2017,48400
GUIDE DOGS FOR THE BLIND ASSOCIATION(THE),BUSINESS,2018,350000
GUILDHALL SCHOOL OF MUSIC AND DRAMA,RESEARCH,2015,36104
GUILDHALL SCHOOL OF MUSIC AND DRAMA,RESEARCH,2016,192023
GWE BUSINESS WEST LTD,RESEARCH,2018,194114
GYROGEAR,RESEARCH,2017,479023
GYROSCOPE THERAPEUTICS LIMITED,RESEARCH,2018,1124364
H R WALLINGFORD LTD,RESEARCH,2014,157680
H R WALLINGFORD LTD,RESEARCH,2015,152914
H R WALLINGFORD LTD,RESEARCH,2016,120437
H.L. HUTCHINSON LIMITED,RESEARCH,2015,149174
H.L. HUTCHINSON LIMITED,RESEARCH,2016,143780
H2GO POWER LTD,RESEARCH,2018,286827
HADEAN SUPERCOMPUTING LTD,RESEARCH,2018,70000
HAL ROBOTICS LTD,RESEARCH,2018,601822
HALALIVERY LTD.,RESEARCH,2018,8414
HANGER19 LTD,RESEARCH,2018,63078
HANNAH O AKINBODE,RESEARCH,2018,8978
HARDIDE PLC,RESEARCH,2018,67962
HARPER ADAMS UNIVERSITY,EDUCATION,2018,295406
HARPER ADAMS UNIVERSITY,BUSINESS,2018,143919
HARPER ADAMS UNIVERSITY,RESEARCH,2014,527421
HARPER ADAMS UNIVERSITY,RESEARCH,2015,224286
HARPER ADAMS UNIVERSITY,RESEARCH,2018,85851
HARPER ADAMS UNIVERSITY,RESEARCH,2015,190084
HARPER ADAMS UNIVERSITY,RESEARCH,2017,30930
HARVARD UNIVERSITY,RESEARCH,2016,460928
HARVARD UNIVERSITY,RESEARCH,2017,303246
HAYBEESEE LIMITED,RESEARCH,2018,470490
HAYDALE COMPOSITE SOLUTIONS LIMITED,RESEARCH,2017,623049
HAYDALE COMPOSITE SOLUTIONS LIMITED,RESEARCH,2018,67939
HAYDALE COMPOSITE SOLUTIONS LIMITED,RESEARCH,2018,287743
HAYDALE LIMITED,RESEARCH,2016,557153
HEALTH DATA RESEARCH UK,RESEARCH,2018,3943222
HEALTH PATHWAYS LIMITED,RESEARCH,2018,49784
HEALTHERA LTD,RESEARCH,2017,665942
HEATH SCIENTIFIC COMPANY LTD,RESEARCH,2018,249031
HEATHY HAIR GYM LTD,RESEARCH,2018,8978
HEL LIMITED,RESEARCH,2017,202098
HELIA PHOTONICS LIMITED,RESEARCH,2018,387029
HELIA PHOTONICS LIMITED,EDUCATION,2018,506060
HELIAQ UK LTD,RESEARCH,2018,308456
HERAEUS NOBLELIGHT LIMITED,RESEARCH,2017,397972
HERIOT-WATT UNIVERSITY,RESEARCH,2018,177942
HERIOT-WATT UNIVERSITY,EDUCATION,2015,2655968
HERIOT-WATT UNIVERSITY,EDUCATION,2016,2195447
HERIOT-WATT UNIVERSITY,EDUCATION,2017,94440
HERIOT-WATT UNIVERSITY,EDUCATION,2018,1388738
HERIOT-WATT UNIVERSITY,BUSINESS,2016,226989
HERIOT-WATT UNIVERSITY,BUSINESS,2017,555395
HERIOT-WATT UNIVERSITY,BUSINESS,2018,529578
HERIOT-WATT UNIVERSITY,RESEARCH,2011,7054458
HERIOT-WATT UNIVERSITY,RESEARCH,2013,8606320
HERIOT-WATT UNIVERSITY,RESEARCH,2014,130482
HERIOT-WATT UNIVERSITY,RESEARCH,2015,5509459
HERIOT-WATT UNIVERSITY,RESEARCH,2016,11457366
HERIOT-WATT UNIVERSITY,RESEARCH,2017,19374220
HERIOT-WATT UNIVERSITY,RESEARCH,2018,13895349
HERIOT-WATT UNIVERSITY,RESEARCH,2013,68648
HERIOT-WATT UNIVERSITY,RESEARCH,2014,10273616
HERIOT-WATT UNIVERSITY,RESEARCH,2015,1609653
HERIOT-WATT UNIVERSITY,RESEARCH,2016,2130564
HERIOT-WATT UNIVERSITY,RESEARCH,2017,1069044
HERIOT-WATT UNIVERSITY,RESEARCH,2018,3231579
HEVASURE LTD,RESEARCH,2017,71820
HEXCEL COMPOSITES LIMITED,RESEARCH,2017,3764000
HEXIGONE INHIBITORS LIMITED,RESEARCH,2017,104974
HIDDEN NARRATIVES LTD,RESEARCH,2018,38130
HIETA TECHNOLOGIES LTD,RESEARCH,2016,2642494
HIETA TECHNOLOGIES LTD,RESEARCH,2017,1749609
HIGH VALUE MANUFACTURING CATAPULT,RESEARCH,2013,18190000
HIGH VALUE MANUFACTURING CATAPULT,RESEARCH,2014,42000000
HIGH VALUE MANUFACTURING CATAPULT,RESEARCH,2016,264864515
HIGHLAND BIOSCIENCES LTD,RESEARCH,2017,1352963
HIGHVIEW ENTERPRISES LIMITED,RESEARCH,2018,205628
HIGHWAY SURVEYORS LIMITED,RESEARCH,2017,370980
HILIGHT SEMICONDUCTOR LIMITED,RESEARCH,2018,684758
HISTORIC ENVIRONMENT SCOTLAND,RESEARCH,2016,381856
HISTORIC ENVIRONMENT SCOTLAND,RESEARCH,2017,806941
HISTORIC ROYAL PALACES,EDUCATION,2017,164976
HISTORIC ROYAL PALACES,EDUCATION,2018,201080
HISTORIC ROYAL PALACES,RESEARCH,2018,36110
HOBS STUDIO LIMITED,RESEARCH,2018,66835
HOCKLEY INTERNATIONAL LIMITED,RESEARCH,2014,384004
HOFER POWERTRAIN UK LIMITED,RESEARCH,2015,14993569
HOFER POWERTRAIN UK LIMITED,RESEARCH,2018,16012586
HOLY CROSS COLLEGE,RESEARCH,2016,8800
HOMEODYNAMIC AUTONOMY LIMITED,RESEARCH,2017,637262
HONEYWELL UK LTD,BUSINESS,2017,2195605
HORIBA MIRA LIMITED,RESEARCH,2017,819662
HORIBA MIRA LIMITED,RESEARCH,2018,13000571
HORIBA MIRA LIMITED,RESEARCH,2018,174972
HORIZON DISCOVERY LIMITED,RESEARCH,2015,1227835
HORIZON DISCOVERY LIMITED,RESEARCH,2017,764310
HORIZON DISCOVERY LIMITED,RESEARCH,2018,305249
HORSEBRIDGE NETWORK SYSTEMS LIMITED,RESEARCH,2017,2921893
HOWDEN JOINERY LIMITED,RESEARCH,2017,1492729
HOX THERAPEUTICS LIMITED,RESEARCH,2018,392949
HSSMI LIMITED,RESEARCH,2018,2064543
HUMAN SCIENCES RESEARCH COUNCIL,RESEARCH,2016,151527
HUMMINGBIRD TECHNOLOGIES LIMITED,RESEARCH,2018,520386
HYBIRD LTD,RESEARCH,2018,240257
HYBRID INSTRUMENTS LIMITED,RESEARCH,2018,78823
HYPHA DISCOVERY LIMITED,RESEARCH,2017,568807
I-RENEWABLE ENERGY LTD,RESEARCH,2018,167440
I3D ROBOTICS LTD,RESEARCH,2017,501710
ICAX LIMITED,RESEARCH,2016,2908718
ICDDRB,RESEARCH,2015,148908
ICE CREATES LIMITED,EDUCATION,2015,175962
ICEOTOPE TECHNOLOGIES LIMITED,RESEARCH,2017,792093
ICEOXFORD LIMITED,RESEARCH,2017,51267
ICEROBOTICS LTD,RESEARCH,2018,71125
ICHROME LTD,RESEARCH,2017,327245
ICLEI - LOCAL GOVTS FOR SUSTAINABILITY,RESEARCH,2015,198931
ICONICHEM WIDNES LIMITED,RESEARCH,2018,2461238
ID QUANTIQUE LTD,RESEARCH,2018,811055
IDEA IS EVERYTHING LIMITED,EDUCATION,2017,260863
IDEAL FIRST CAR,RESEARCH,2018,8414
IDIADA AUTOMOTIVE TECHNOLOGY UK LTD.,RESEARCH,2017,3054563
IESO DIGITAL HEALTH LIMITED,RESEARCH,2018,612632
IGEM THERAPEUTICS LIMITED,RESEARCH,2018,1018198
IGEOLISE LIMITED,RESEARCH,2018,69164
IGNITE FUTURES LTD,RESEARCH,2018,14250
IKNAIA LIMITED,RESEARCH,2017,64109
ILIKA TECHNOLOGIES LTD,RESEARCH,2015,1072971
ILIKA TECHNOLOGIES LTD,RESEARCH,2017,1202831
ILIKA TECHNOLOGIES LTD,RESEARCH,2018,5354171
IMAGE ANALYSIS LIMITED,RESEARCH,2017,456488
IMAGE ANALYSIS LIMITED,EDUCATION,2018,318696
IMAGEN THERAPEUTICS LIMITED,RESEARCH,2017,59531
IMHOTEP DIAGNOSTICS & THERAPEUTICS LIMITED,RESEARCH,2018,101151
IMMATERIAL LABS LTD,RESEARCH,2018,1515926
IMMUNOSYS LTD,EDUCATION,2017,164558
IMPACT LABORATORIES LIMITED,RESEARCH,2018,69963
IMPERAL LONDON COLLEGE,RESEARCH,2018,2127124
IMPERAL LONDON COLLEGE,BUSINESS,2018,153283
IMPERIAL CHEMICAL INDUSTRIES LIMITED,RESEARCH,2016,116587
IMPERIAL CHEMICAL INDUSTRIES LIMITED,RESEARCH,2018,534790
IMPERIAL COLLEGE LONDON,EDUCATION,2013,5917215
IMPERIAL COLLEGE LONDON,EDUCATION,2014,8408281
IMPERIAL COLLEGE LONDON,EDUCATION,2015,8408599
IMPERIAL COLLEGE LONDON,EDUCATION,2016,7965211
IMPERIAL COLLEGE LONDON,EDUCATION,2017,9270456
IMPERIAL COLLEGE LONDON,EDUCATION,2018,16969421
IMPERIAL COLLEGE LONDON,OTHER GRANT,2016,331196
IMPERIAL COLLEGE LONDON,OTHER GRANT,2017,613053
IMPERIAL COLLEGE LONDON,OTHER GRANT,2018,155806
IMPERIAL COLLEGE LONDON,RESEARCH,2011,15534654
IMPERIAL COLLEGE LONDON,RESEARCH,2012,26931057
IMPERIAL COLLEGE LONDON,RESEARCH,2013,40215915
IMPERIAL COLLEGE LONDON,RESEARCH,2014,65128544
IMPERIAL COLLEGE LONDON,RESEARCH,2015,44338316
IMPERIAL COLLEGE LONDON,RESEARCH,2016,87796710
IMPERIAL COLLEGE LONDON,RESEARCH,2017,84636542
IMPERIAL COLLEGE LONDON,RESEARCH,2018,84388474
IMPERIAL COLLEGE LONDON,RESEARCH,2011,2200000
IMPERIAL COLLEGE LONDON,RESEARCH,2013,1372960
IMPERIAL COLLEGE LONDON,RESEARCH,2014,65357613
IMPERIAL COLLEGE LONDON,RESEARCH,2015,24208746
IMPERIAL COLLEGE LONDON,RESEARCH,2016,24049877
IMPERIAL COLLEGE LONDON,RESEARCH,2017,9474867
IMPERIAL COLLEGE LONDON,RESEARCH,2018,21291349
IMPRESSION TECHNOLOGIES LIMITED,RESEARCH,2017,5636249
IMPRESSION TECHNOLOGIES LIMITED,EDUCATION,2017,187157
IMUTEX LIMITED,BUSINESS,2017,3600000
IN TOUCH LIMITED,RESEARCH,2017,636078
IN-CYCLE LTD,RESEARCH,2018,181508
IN2SCIENCEUK.ORG,RESEARCH,2018,14750
INAVYA VENTURES LTD,RESEARCH,2018,392441
INCLUSIVE DESIGNS LTD,RESEARCH,2017,69656
INCREMENTAL SOLUTIONS LTD,RESEARCH,2017,212134
INCUS PERFORMANCE LTD.,RESEARCH,2017,299186
INDESTRUCTIBLE PAINT LIMITED,RESEARCH,2017,304784
INDUSTRIAL LIGHT & MAGIC (UK) LTD.,RESEARCH,2018,484516
INDUSTRIAL PHYCOLOGY LIMITED,RESEARCH,2018,114329
INDUSTRIAL TECHNOLOGY SYSTEMS LIMITED,RESEARCH,2018,1326681
INEX MICROTECHNOLOGY LIMITED,RESEARCH,2018,300392
INFORMATION COMMISSIONERS OFFICE,RESEARCH,2018,536127
INGENICA SOLUTIONS LIMITED,EDUCATION,2017,307694
INGENZA LIMITED,RESEARCH,2016,396540
INGENZA LIMITED,RESEARCH,2017,932701
INHERITING EARTH LIMITED,RESEARCH,2018,8414
INNOVA INTEGRA LIMITED,RESEARCH,2018,387886
INNOVATE UK,RESEARCH,2016,813139
INNOVATE UK,EDUCATION,2017,6457680
INNOVATIONS FOR POVERTY ACTION,RESEARCH,2018,559495
INNOVATIVE PHYSICS LIMITED,EDUCATION,2017,307672
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,RESEARCH,2016,368472
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,RESEARCH,2017,2219479
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,RESEARCH,2018,2145376
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,RESEARCH,2017,252018
INNOVATIVE TECHNOLOGY AND SCIENCE LIMITED,RESEARCH,2018,787309
INNOVENT TECHNOLOGY LIMITED,RESEARCH,2018,676235
INNOVIFY UK LTD,EDUCATION,2018,318800
INNVOTEK LTD,RESEARCH,2018,393443
INOCARDIA LIMITED,RESEARCH,2016,696342
INOCARDIA LIMITED,RESEARCH,2017,68688
INOVA DESIGN SOLUTIONS LTD,RESEARCH,2017,69836
INOVO ROBOTICS LTD,RESEARCH,2017,154220
INSPRO LTD,RESEARCH,2018,142073
INSTITUTE FOR FINANCIAL MANAGEMENT & RES,RESEARCH,2014,308975
INSTITUTE FOR FINANCIAL MANAGEMENT & RES,RESEARCH,2016,565728
INSTITUTE FOR FISCAL STUDIES,RESEARCH,2014,1337020
INSTITUTE FOR FISCAL STUDIES,RESEARCH,2015,7356959
INSTITUTE FOR FISCAL STUDIES,RESEARCH,2016,614115
INSTITUTE FOR FISCAL STUDIES,RESEARCH,2017,3368796
INSTITUTE FOR FISCAL STUDIES,RESEARCH,2018,196957
INSTITUTE FOR GOVERNMENT,RESEARCH,2017,143565
INSTITUTE FOR PEACE AND SECURITY STUDIES,RESEARCH,2017,250513
INSTITUTE FOR RESEARCH IN SCHOOLS,RESEARCH,2017,11500
INSTITUTE OF CANCER RESEARCH,EDUCATION,2015,243836
INSTITUTE OF CANCER RESEARCH,EDUCATION,2016,583873
INSTITUTE OF CANCER RESEARCH,OTHER GRANT,2015,338454
INSTITUTE OF CANCER RESEARCH,RESEARCH,2015,621519
INSTITUTE OF CANCER RESEARCH,RESEARCH,2016,2461592
INSTITUTE OF CANCER RESEARCH,RESEARCH,2015,95042
INSTITUTE OF DEVELOPMENT STUDIES,RESEARCH,2015,560433
INSTITUTE OF DEVELOPMENT STUDIES,RESEARCH,2016,459463
INSTITUTE OF DEVELOPMENT STUDIES,RESEARCH,2017,638206
INSTITUTE OF DEVELOPMENT STUDIES,RESEARCH,2018,1933251
INSTITUTE OF FOOD RESEARCH,RESEARCH,2015,415769
INSTITUTE OF FOOD RESEARCH,RESEARCH,2016,1401781
INSTITUTE OF FOOD RESEARCH,RESEARCH,2017,1566860
INSTITUTE OF FOOD RESEARCH,RESEARCH,2018,1402756
INSTITUTE OF FOOD RESEARCH,RESEARCH,2014,94126
INSTITUTE OF FOOD RESEARCH,RESEARCH,2018,98212
INSTITUTE OF OCCUPATIONAL MEDICINE,RESEARCH,2016,495171
INSTITUTE OF RESEARCH FOR DEVELOPMENT,RESEARCH,2015,830568
INTEGRATED COMPOUND SEMICONDUCTORS LIMITED,RESEARCH,2018,181071
INTEGRATED ENVIRONMENTAL SOLUTIONS LIMITED,RESEARCH,2017,543688
INTELCOMM (UK) LIMITED,RESEARCH,2018,193767
INTELLECTUAL PROPERTY OFFICE,RESEARCH,2018,452047
INTELLIGENT ENERGY LIMITED,RESEARCH,2015,6315719
INTELLIGENT ENERGY LIMITED,RESEARCH,2018,404767
INTELLIGENT FRUIT VISION LIMITED,EDUCATION,2017,303988
INTELLIGENT MAINTENANCE SYSTEMS LIMITED,RESEARCH,2016,3541747
INTELLIGENT ROBOTS LIMITED,RESEARCH,2018,65016
INTENSICHEM LIMITED,RESEARCH,2018,88281
INTERCAL(UK) LIMITED,RESEARCH,2018,228190
INTERFACE POLYMERS LTD,RESEARCH,2017,542829
INTERNATIONAL CENTRE FOR LIFE TRUST,RESEARCH,2018,105955
INTERNATIONAL CONTROLLED ATMOSPHERE LTD.,RESEARCH,2015,186079
INTERNATIONAL INSTITUTE FOR ENV AND DEV,RESEARCH,2015,833758
INTERNATIONAL INSTITUTE FOR ENV AND DEV,RESEARCH,2017,5903502
INTERNATIONAL PAINT LIMITED,RESEARCH,2018,618614
INTERNATIONAL START SECRETARIAT,RESEARCH,2015,256405
INTOGRAL LIMITED,RESEARCH,2018,140735
INTRACT PHARMA LIMITED,RESEARCH,2018,1120008
INTRAY LTD,RESEARCH,2018,425393
INVENIO SYSTEMS LIMITED,RESEARCH,2018,161355
INVENTOR-E LIMITED,RESEARCH,2018,272364
INVITRON LIMITED,RESEARCH,2017,443550
IONTAS LIMITED,EDUCATION,2016,174595
IONTAS LIMITED,RESEARCH,2018,543363
IOTECH SYSTEMS LIMITED,RESEARCH,2018,342307
IOTICS LTD,RESEARCH,2018,383092
IPROOV LIMITED,RESEARCH,2018,189460
IPSEN BIOPHARM LIMITED,RESEARCH,2018,864606
IQE PLC,RESEARCH,2017,300885
IQE PLC,RESEARCH,2018,267549
IQE PLC,EDUCATION,2016,190840
IQE PLC,EDUCATION,2017,215474
IRRESISTIBLE MATERIALS LTD,RESEARCH,2017,460389
IS-INSTRUMENTS LIMITED,RESEARCH,2017,471905
IS-INSTRUMENTS LIMITED,RESEARCH,2018,417831
ISLAND GAS LIMITED,RESEARCH,2016,191963
ISOTROPIC SYSTEMS LTD,RESEARCH,2018,1047565
IT POWER CONSULTING LIMITED,RESEARCH,2012,1514326
ITERATE DESIGN AND INNOVATION LTD,RESEARCH,2017,887415
ITM POWER (TRADING) LIMITED,RESEARCH,2017,996162
ITM POWER (TRADING) LIMITED,RESEARCH,2018,327692
ITO WORLD LTD,EDUCATION,2018,167293
ITPE LTD,RESEARCH,2017,988220
IZANA BIOSCIENCE LIMITED,RESEARCH,2017,1346577
J SAINSBURY PLC,RESEARCH,2015,210892
JAGUAR LAND ROVER LIMITED,RESEARCH,2015,1295889
JAGUAR LAND ROVER LIMITED,RESEARCH,2016,18148840
JAGUAR LAND ROVER LIMITED,RESEARCH,2017,17075531
JAGUAR LAND ROVER LIMITED,RESEARCH,2018,10418624
JAGUAR LAND ROVER LIMITED,RESEARCH,2018,18700515
JAGUAR LAND ROVER LIMITED,RESEARCH,2017,398877
JAMES FINLAY LTD,RESEARCH,2016,688321
JAMES FISHER TESTING SERVICES LIMITED,RESEARCH,2017,1482837
JAMES HUTTON LIMITED,RESEARCH,2015,630768
JAMES HUTTON LIMITED,RESEARCH,2015,892155
JAMES HUTTON LIMITED,RESEARCH,2018,89736
JELLAGEN PTY LTD,RESEARCH,2017,329088
JELLY PRODUCTS LIMITED,RESEARCH,2017,239813
JESMOND ENGINEERING LIMITED,RESEARCH,2018,1059665
JINGO JUICE LTD T/A MARSHMALLOW LASER FEAST,RESEARCH,2017,432414
JJ BIOENERGY LIMITED,RESEARCH,2018,190878
JOHN CAUNT SCIENTIFIC LIMITED,RESEARCH,2015,567864
JOHN INNES CENTRE,EDUCATION,2014,2247588
JOHN INNES CENTRE,EDUCATION,2017,1012044
JOHN INNES CENTRE,EDUCATION,2018,304886
JOHN INNES CENTRE,RESEARCH,2013,806167
JOHN INNES CENTRE,RESEARCH,2014,1863141
JOHN INNES CENTRE,RESEARCH,2015,1783937
JOHN INNES CENTRE,RESEARCH,2016,7681362
JOHN INNES CENTRE,RESEARCH,2017,8135133
JOHN INNES CENTRE,RESEARCH,2018,5998665
JOHN INNES CENTRE,RESEARCH,2014,93520
JOHN INNES CENTRE,RESEARCH,2015,12726143
JOHN INNES CENTRE,RESEARCH,2016,96696
JOHN INNES CENTRE,RESEARCH,2017,356017
JOHN INNES CENTRE,RESEARCH,2018,289034
JOHNS HOPKINS UNIVERSITY,RESEARCH,2015,865561
JOHNSON MATTHEY PLC,RESEARCH,2016,3241285
JOHNSON MATTHEY PLC,RESEARCH,2017,536931
JOHNSON MATTHEY PLC,RESEARCH,2018,2205169
JOHNSON MATTHEY PLC,EDUCATION,2018,156376
JOHNSON MATTHEY PLC,RESEARCH,2017,507003
JOINTMEDICA LIMITED,RESEARCH,2018,906391
JR DYNAMICS LIMITED,RESEARCH,2017,556082
JR DYNAMICS LIMITED,RESEARCH,2018,255429
JRI ORTHOPAEDICS LIMITED,RESEARCH,2017,1152256
JRI ORTHOPAEDICS LIMITED,RESEARCH,2018,721412
JUMP STAFF LTD,RESEARCH,2018,342401
JUST CHECKING LTD,RESEARCH,2018,52418
KAGENOVA LIMITED,RESEARCH,2018,69972
KAIAM EUROPE LIMITED,RESEARCH,2017,647405
KEE PROCESS LIMITED,RESEARCH,2016,287768
KEELE UNIVERSITY,EDUCATION,2015,413944
KEELE UNIVERSITY,EDUCATION,2017,171094
KEELE UNIVERSITY,EDUCATION,2018,138138
KEELE UNIVERSITY,RESEARCH,2013,610579
KEELE UNIVERSITY,RESEARCH,2015,1597277
KEELE UNIVERSITY,RESEARCH,2016,936584
KEELE UNIVERSITY,RESEARCH,2017,2819957
KEELE UNIVERSITY,RESEARCH,2018,4430668
KEELE UNIVERSITY,RESEARCH,2014,141734
KEELE UNIVERSITY,RESEARCH,2015,216765
KEELE UNIVERSITY,RESEARCH,2018,315203
KELVIN NANOTECHNOLOGY LIMITED,RESEARCH,2017,262482
KERONITE INTERNATIONAL LIMITED,RESEARCH,2018,281477
KETTLE FOODS LTD.,RESEARCH,2016,480938
KEYNETIX LIMITED,RESEARCH,2017,205553
KIGTEK SOLUTIONS LIMITED,RESEARCH,2018,528922
KIM SOFTWARE SOLUTIONS LIMITED,RESEARCH,2018,147516
KING'S COLLEGE LONDON,EDUCATION,2011,1913771
KING'S COLLEGE LONDON,EDUCATION,2013,1046025
KING'S COLLEGE LONDON,EDUCATION,2014,1848368
KING'S COLLEGE LONDON,EDUCATION,2015,4622889
KING'S COLLEGE LONDON,EDUCATION,2016,3766411
KING'S COLLEGE LONDON,EDUCATION,2017,5646310
KING'S COLLEGE LONDON,EDUCATION,2018,5649269
KING'S COLLEGE LONDON,OTHER GRANT,2013,3650179
KING'S COLLEGE LONDON,OTHER GRANT,2014,4994511
KING'S COLLEGE LONDON,OTHER GRANT,2016,679807
KING'S COLLEGE LONDON,OTHER GRANT,2017,6165151
KING'S COLLEGE LONDON,OTHER GRANT,2018,56484
KING'S COLLEGE LONDON,RESEARCH,2011,2578995
KING'S COLLEGE LONDON,RESEARCH,2012,7287953
KING'S COLLEGE LONDON,RESEARCH,2013,4043864
KING'S COLLEGE LONDON,RESEARCH,2014,12911328
KING'S COLLEGE LONDON,RESEARCH,2015,33698818
KING'S COLLEGE LONDON,RESEARCH,2016,31250764
KING'S COLLEGE LONDON,RESEARCH,2017,49482910
KING'S COLLEGE LONDON,RESEARCH,2018,43734104
KING'S COLLEGE LONDON,RESEARCH,2011,7125093
KING'S COLLEGE LONDON,RESEARCH,2013,137296
KING'S COLLEGE LONDON,RESEARCH,2014,9902726
KING'S COLLEGE LONDON,RESEARCH,2015,2592649
KING'S COLLEGE LONDON,RESEARCH,2016,2596364
KING'S COLLEGE LONDON,RESEARCH,2017,7619889
KING'S COLLEGE LONDON,RESEARCH,2018,6584318
KINGSTON UNIVERSITY,RESEARCH,2018,47740
KINGSTON UNIVERSITY,EDUCATION,2016,199813
KINGSTON UNIVERSITY,RESEARCH,2017,279703
