LeadROName,ProjectCategory,year,AwardPounds
CARDIFF UNIVERSITY,RESEARCH,2014,17823946
CARDIFF UNIVERSITY,RESEARCH,2015,13462041
CARDIFF UNIVERSITY,RESEARCH,2016,31787141
CARDIFF UNIVERSITY,RESEARCH,2017,26520393
CARDIFF UNIVERSITY,RESEARCH,2018,30160815
CARDIFF UNIVERSITY,RESEARCH,2011,14852622
CARDIFF UNIVERSITY,RESEARCH,2014,4996620
CARDIFF UNIVERSITY,RESEARCH,2015,2179991
CARDIFF UNIVERSITY,RESEARCH,2016,2157662
CARDIFF UNIVERSITY,RESEARCH,2017,6648018
CARDIFF UNIVERSITY,RESEARCH,2018,4935381
CARE CITY,RESEARCH,2018,1397367
CARE QUALITY COMMISSION,RESEARCH,2018,494703
