,Value,Year,ProviderType,Purpose
189,367033.0,2012,COLLEGE,EDUCATION
190,631440.0,2012,COLLEGE,EDUCATION
191,2554669.0,2012,COLLEGE,EDUCATION
192,119336.0,2012,COMPANY,EDUCATION
193,353322.0,2012,COMPANY,EDUCATION
194,45057.0,2012,COMPANY,EDUCATION
195,412576.0,2012,COMPANY,EDUCATION
196,956117.0,2012,COLLEGE,EDUCATION
197,2526669.0,2012,COLLEGE,EDUCATION
198,13700460.0,2012,COLLEGE,EDUCATION
199,1128619.0,2012,COMPANY,EDUCATION
200,2791889.0,2012,COMPANY,EDUCATION
201,406568.0,2012,COLLEGE,EDUCATION
202,1818583.0,2012,COLLEGE,EDUCATION
203,6169465.0,2012,COLLEGE,EDUCATION
204,17033.0,2012,COMPANY,EDUCATION
205,299920.0,2012,COMPANY,EDUCATION
206,36223.0,2012,COLLEGE,EDUCATION
207,271526.0,2012,COMPANY,EDUCATION
208,980664.0,2012,COMPANY,EDUCATION
209,385838.0,2012,COMPANY,EDUCATION
210,722285.0,2012,COMPANY,EDUCATION
211,1557119.0,2012,COMPANY,EDUCATION
212,12038518.0,2012,COMPANY,EDUCATION
213,13883776.0,2012,COMPANY,EDUCATION
214,545992.0,2012,COMPANY,EDUCATION
215,1206724.0,2012,COMPANY,EDUCATION
216,373462.0,2012,COMPANY,EDUCATION
217,545444.0,2012,COMPANY,EDUCATION
218,215413.0,2012,COMPANY,EDUCATION
219,721461.0,2012,COMPANY,EDUCATION
220,291150.0,2012,COLLEGE,EDUCATION
221,384072.0,2012,COLLEGE,EDUCATION
222,2946493.0,2012,COLLEGE,EDUCATION
223,1109094.0,2012,COLLEGE,EDUCATION
224,7580797.0,2012,COLLEGE,EDUCATION
225,796283.0,2012,COMPANY,EDUCATION
226,1334015.0,2012,COMPANY,EDUCATION
227,392993.0,2012,COLLEGE,EDUCATION
228,104079.0,2012,COLLEGE,EDUCATION
229,2301092.0,2012,COLLEGE,EDUCATION
230,3009878.0,2012,COLLEGE,EDUCATION
231,315793.0,2012,COLLEGE,EDUCATION
232,1916963.0,2012,COLLEGE,EDUCATION
233,23444.0,2012,COMPANY,EDUCATION
234,1205298.0,2012,COMPANY,EDUCATION
235,1009375.0,2012,COMPANY,EDUCATION
236,5999260.0,2012,COMPANY,EDUCATION
237,128244.0,2012,COMPANY,EDUCATION
238,1910387.0,2012,COMPANY,EDUCATION
239,1950930.0,2012,COMPANY,EDUCATION
240,16623.0,2012,UNIVERSITY,EDUCATION
241,161393.0,2012,COLLEGE,EDUCATION
242,309381.0,2012,COLLEGE,EDUCATION
243,679161.0,2012,COMPANY,EDUCATION
244,1310127.0,2012,COMPANY,EDUCATION
245,1335934.0,2012,COLLEGE,EDUCATION
246,3742553.0,2012,COLLEGE,EDUCATION
247,119831.0,2012,COLLEGE,EDUCATION
248,1126362.0,2012,COLLEGE,EDUCATION
249,5467378.0,2012,COLLEGE,EDUCATION
250,115447.0,2012,COLLEGE,EDUCATION
251,1233556.0,2012,COLLEGE,EDUCATION
252,5516418.0,2012,COLLEGE,EDUCATION
253,605.0,2012,COMPANY,EDUCATION
254,793257.0,2012,COMPANY,EDUCATION
255,966899.0,2012,COMPANY,EDUCATION
256,705466.0,2012,COMPANY,EDUCATION
257,2155668.0,2012,COMPANY,EDUCATION
258,116151.0,2012,COMPANY,EDUCATION
259,619165.0,2012,COMPANY,EDUCATION
260,437496.0,2012,COMPANY,EDUCATION
261,437897.0,2012,COMPANY,EDUCATION
262,62254.0,2012,COMPANY,EDUCATION
263,1453364.0,2012,COMPANY,EDUCATION
264,806595.0,2012,COLLEGE,EDUCATION
265,6203438.0,2012,COLLEGE,EDUCATION
266,187216.0,2012,COMPANY,EDUCATION
267,857982.0,2012,COMPANY,EDUCATION
268,542142.0,2012,COLLEGE,EDUCATION
269,2849177.0,2012,COLLEGE,EDUCATION
270,11345590.0,2012,COLLEGE,EDUCATION
271,4805.0,2012,COMPANY,EDUCATION
272,528379.0,2012,COMPANY,EDUCATION
273,1719606.0,2012,COMPANY,EDUCATION
274,192264.0,2012,COMPANY,EDUCATION
275,1101657.0,2012,COMPANY,EDUCATION
276,65259.0,2012,COLLEGE,EDUCATION
277,1017129.0,2012,COLLEGE,EDUCATION
278,6468631.0,2012,COLLEGE,EDUCATION
279,221936.0,2012,COLLEGE,EDUCATION
280,4448167.0,2012,COLLEGE,EDUCATION
281,271682.0,2012,COMPANY,EDUCATION
282,521915.0,2012,COMPANY,EDUCATION
283,61184.0,2012,COLLEGE,EDUCATION
284,195639.0,2012,COMPANY,EDUCATION
285,4076415.0,2012,COMPANY,EDUCATION
286,104006.0,2012,COMPANY,EDUCATION
287,1555003.0,2012,COMPANY,EDUCATION
288,606170.0,2012,COLLEGE,EDUCATION
289,2272295.0,2012,COLLEGE,EDUCATION
290,34855.0,2012,COLLEGE,EDUCATION
291,457804.0,2012,COMPANY,EDUCATION
292,6285840.0,2012,COMPANY,EDUCATION
293,693849.0,2012,COLLEGE,EDUCATION
294,3312291.0,2012,COLLEGE,EDUCATION
295,418147.0,2012,COMPANY,EDUCATION
296,760852.0,2012,COMPANY,EDUCATION
297,40158.0,2012,COLLEGE,EDUCATION
298,219143.0,2012,COLLEGE,EDUCATION
299,3848865.0,2012,COLLEGE,EDUCATION
300,38877.0,2012,COMPANY,EDUCATION
301,658883.0,2012,COMPANY,EDUCATION
302,1031215.0,2012,COMPANY,EDUCATION
303,141501.0,2012,COLLEGE,EDUCATION
304,1181892.0,2012,COLLEGE,EDUCATION
305,6075027.0,2012,COLLEGE,EDUCATION
306,674103.0,2012,COMPANY,EDUCATION
307,2061901.0,2012,COMPANY,EDUCATION
308,557876.0,2012,COMPANY,EDUCATION
309,886120.0,2012,COMPANY,EDUCATION
310,426244.0,2012,COMPANY,EDUCATION
311,626182.0,2012,COMPANY,EDUCATION
312,68906.0,2012,COMPANY,EDUCATION
313,295079.0,2012,COMPANY,EDUCATION
314,664255.0,2012,COMPANY,EDUCATION
315,4551372.0,2012,COMPANY,EDUCATION
316,334891.0,2012,COLLEGE,EDUCATION
317,721027.0,2012,COLLEGE,EDUCATION
318,556841.0,2012,COLLEGE,EDUCATION
319,2119979.0,2012,COLLEGE,EDUCATION
320,444880.0,2012,COMPANY,EDUCATION
321,537097.0,2012,COMPANY,EDUCATION
322,192086.0,2012,COMPANY,EDUCATION
323,613236.0,2012,COMPANY,EDUCATION
324,647126.0,2012,COMPANY,EDUCATION
325,3381593.0,2012,COLLEGE,EDUCATION
326,6970449.0,2012,COLLEGE,EDUCATION
327,156070.0,2012,COMPANY,EDUCATION
