LeadROName,ProjectCategory,year,AwardPounds,ProviderType
NORTECH MANAGEMENT LIMITED,RESEARCH,2018,699930,COMPANY
NORTH CAROLINA STATE UNIVERSITY,RESEARCH,2015,181570,UNIVERSITY
NORTH EAST HAMPSHIRE AND FARNHAM CCG,RESEARCH,2018,544491,COMPANY
NORTH PENNINES AONB PARTNERSHIP,RESEARCH,2015,9330,COMPANY
NORTH WEST REGIONAL COLLEGE,BUSINESS,2017,108270,COLLEGE
NORTH WEST TEXTILES NETWORK LTD,RESEARCH,2016,420585,COMPANY
NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,BUSINESS,2017,1998604,COMPANY
NORTHUMBRIA UNIVERSITY,RESEARCH,2018,44279,UNIVERSITY
NORTHUMBRIA UNIVERSITY,EDUCATION,2017,307802,UNIVERSITY
NORTHUMBRIA UNIVERSITY,EDUCATION,2018,149786,UNIVERSITY
NORTHUMBRIA UNIVERSITY,BUSINESS,2017,312471,UNIVERSITY
NORTHUMBRIA UNIVERSITY,BUSINESS,2018,255171,UNIVERSITY
NORTHUMBRIA UNIVERSITY,RESEARCH,2014,458078,UNIVERSITY
NORTHUMBRIA UNIVERSITY,RESEARCH,2016,328870,UNIVERSITY
NORTHUMBRIA UNIVERSITY,RESEARCH,2017,3840844,UNIVERSITY
NORTHUMBRIA UNIVERSITY,RESEARCH,2018,4209345,UNIVERSITY
NORTON MOTORCYCLES (UK) LIMITED,RESEARCH,2016,2724995,COMPANY
NOTO TECHNOLOGIES LIMITED,RESEARCH,2018,171715,COMPANY
NOTTINGHAM TRENT UNIVERSITY,EDUCATION,2018,367191,UNIVERSITY
NOTTINGHAM TRENT UNIVERSITY,BUSINESS,2017,246276,UNIVERSITY
NOTTINGHAM TRENT UNIVERSITY,BUSINESS,2018,41025,UNIVERSITY
NOTTINGHAM TRENT UNIVERSITY,RESEARCH,2016,442918,UNIVERSITY
NOTTINGHAM TRENT UNIVERSITY,RESEARCH,2017,325473,UNIVERSITY
NOTTINGHAM TRENT UNIVERSITY,RESEARCH,2018,897577,UNIVERSITY
NOTTINGHAM UNI HOSPITALS NHS TRUST,EDUCATION,2018,217559,COMPANY
NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,RESEARCH,2018,1487643,UNIVERSITY
NOVA PANGAEA TECHNOLOGIES (UK) LIMITED,RESEARCH,2018,872000,COMPANY
NOVOLAB LIMITED,RESEARCH,2018,535012,COMPANY
NPL MANAGEMENT LIMITED,RESEARCH,2016,245095,COMPANY
NPS HUMBER LIMITED,RESEARCH,2018,359780,COMPANY
NQUIRINGMINDS LIMITED,RESEARCH,2017,1871638,COMPANY
NU NANO LTD,RESEARCH,2017,216496,COMPANY
NUM TECHNOLOGY  LTD,RESEARCH,2018,292480,COMPANY
NUMERION SOFTWARE LIMITED,RESEARCH,2016,593356,COMPANY
NUMERION SOFTWARE LIMITED,RESEARCH,2017,322034,COMPANY
NURON LIMITED,RESEARCH,2018,42947,COMPANY
NUVIA LIMITED,BUSINESS,2018,1499224,COMPANY
NUVISION BIOTHERAPIES LIMITED,RESEARCH,2018,885375,COMPANY
NVP ENERGY UK LIMITED,RESEARCH,2017,395570,COMPANY
O2NRG LTD,RESEARCH,2018,264168,COMPANY
OAK TECHNICAL SERVICES (OAKTEC),RESEARCH,2017,614646,COMPANY
OCTOPUS ENERGY LIMITED,RESEARCH,2018,3104622,COMPANY
OFCOM,RESEARCH,2018,690600,COMPANY
OFFSHORE RENEWABLE ENERGY CATAPULT,RESEARCH,2018,73929000,COMPANY
OFGEM,RESEARCH,2018,2377130,COMPANY
OHMEDICS LIMITED,RESEARCH,2015,659311,COMPANY
OLIVER CRISPIN ROBOTICS LIMITED,RESEARCH,2017,1518147,COMPANY
OLYMPUS AUTOMATION LIMITED,RESEARCH,2017,627819,COMPANY
OMASS TECHNOLOGIES LTD,RESEARCH,2018,481722,COMPANY
OMNIA(CS) LIMITED,RESEARCH,2018,754633,COMPANY
OMNIFI LIMITED,RESEARCH,2017,40488,COMPANY
ONFIDO LTD,EDUCATION,2016,257227,COMPANY
ONSITE DIAGNOSTICS LIMITED,RESEARCH,2018,69687,COMPANY
OPEN DATA INSTITUTE,RESEARCH,2017,6000000,COMPANY
OPEN INCLUSION LIMITED,RESEARCH,2018,46465,COMPANY
OPEN UNIVERSITY,EDUCATION,2014,404876,UNIVERSITY
OPEN UNIVERSITY,EDUCATION,2018,307538,UNIVERSITY
OPEN UNIVERSITY,BUSINESS,2014,150605,UNIVERSITY
OPEN UNIVERSITY,RESEARCH,2014,1208430,UNIVERSITY
OPEN UNIVERSITY,RESEARCH,2015,1362465,UNIVERSITY
OPEN UNIVERSITY,RESEARCH,2016,2577123,UNIVERSITY
OPEN UNIVERSITY,RESEARCH,2017,6180047,UNIVERSITY
OPEN UNIVERSITY,RESEARCH,2018,5955397,UNIVERSITY
OPEN UNIVERSITY,RESEARCH,2015,794805,UNIVERSITY
OPEN UNIVERSITY,RESEARCH,2017,298156,UNIVERSITY
OPEN UNIVERSITY,RESEARCH,2018,301328,UNIVERSITY
OPENLINK GROUP LIMITED,EDUCATION,2017,213231,COMPANY
OPTIBRIUM LIMITED,RESEARCH,2018,811860,COMPANY
OPTISENSE LIMITED,RESEARCH,2014,437251,COMPANY
OPTISENSE LIMITED,RESEARCH,2015,483276,COMPANY
OPTOCAP LIMITED,RESEARCH,2017,550432,COMPANY
OPTOCAP LIMITED,RESEARCH,2018,1407900,COMPANY
OPTRICAL LIMITED,RESEARCH,2018,175420,COMPANY
OPUS MATERIALS TECHNOLOGIES LTD.,RESEARCH,2017,636435,COMPANY
ORBIT DISCOVERY LTD,RESEARCH,2018,104747,COMPANY
ORE CATAPULT DEVELOPMENT SERVICES LIMITED,RESEARCH,2018,141955,COMPANY
ORE CATAPULT DEVELOPMENT SERVICES LIMITED,EDUCATION,2015,74088,COMPANY
ORTHOX LIMITED,RESEARCH,2015,1493192,COMPANY
ORXA GRID LTD,RESEARCH,2018,184038,COMPANY
OSLER DIAGNOSTICS LIMITED,RESEARCH,2018,955156,COMPANY
OSTARA BIOMEDICAL LIMITED,RESEARCH,2017,562856,COMPANY
OSTIQUE LIMITED,RESEARCH,2018,167063,COMPANY
OVATIONDATA LIMITED,RESEARCH,2018,470514,COMPANY
OVE ARUP & PARTNERS LIMITED,RESEARCH,2015,9167177,COMPANY
OVERSEAS DEVELOPMENT INST ODI (INTERNAT),RESEARCH,2012,299792,COMPANY
OVERSEAS DEVELOPMENT INST ODI (INTERNAT),RESEARCH,2015,70913,COMPANY
OVERSEAS DEVELOPMENT INST ODI (INTERNAT),RESEARCH,2016,258630,COMPANY
OVERSEAS DEVELOPMENT INST ODI (INTERNAT),RESEARCH,2018,144579,COMPANY
OVIVA UK LIMITED,RESEARCH,2018,51738,COMPANY
OVO ENERGY LTD,RESEARCH,2018,3086213,COMPANY
OXBOTICA LIMITED,RESEARCH,2017,8599467,COMPANY
OXBOTICA LIMITED,RESEARCH,2017,196598,COMPANY
OXBOTICA LIMITED,RESEARCH,2018,174611,COMPANY
OXFORD ADVANCED SURFACES LIMITED,RESEARCH,2017,101042,COMPANY
OXFORD BIOMATERIALS LIMITED,EDUCATION,2016,159888,COMPANY
OXFORD BIOMEDICA (UK) LIMITED,RESEARCH,2017,1328892,COMPANY
OXFORD BIOMEDICA (UK) LIMITED,RESEARCH,2018,1995000,COMPANY
OXFORD BIOTRANS LIMITED,RESEARCH,2018,68805,COMPANY
OXFORD BROOKES UNIVERSITY,BUSINESS,2017,391653,UNIVERSITY
OXFORD BROOKES UNIVERSITY,RESEARCH,2015,472200,UNIVERSITY
OXFORD BROOKES UNIVERSITY,RESEARCH,2016,816237,UNIVERSITY
OXFORD BROOKES UNIVERSITY,RESEARCH,2017,1442044,UNIVERSITY
OXFORD BROOKES UNIVERSITY,RESEARCH,2018,2418891,UNIVERSITY
OXFORD BROOKES UNIVERSITY,RESEARCH,2015,94126,UNIVERSITY
OXFORD BROOKES UNIVERSITY,RESEARCH,2017,98212,UNIVERSITY
OXFORD CARESENSE LIMITED,RESEARCH,2018,329893,COMPANY
OXFORD DRUG DESIGN LIMITED,RESEARCH,2017,922203,COMPANY
OXFORD ELECTROMAGNETIC SOLUTIONS LIMITED,RESEARCH,2018,66790,COMPANY
OXFORD EXPRESSION TECHNOLOGIES LIMITED,RESEARCH,2016,275526,COMPANY
OXFORD EXPRESSION TECHNOLOGIES LIMITED,BUSINESS,2018,2000000,COMPANY
OXFORD FIBER LTD,RESEARCH,2018,61695,COMPANY
OXFORD FLOW LIMITED,RESEARCH,2018,105000,COMPANY
OXFORD GENETICS LTD,RESEARCH,2017,1532597,COMPANY
OXFORD HIGHQ LTD,RESEARCH,2018,455258,COMPANY
OXFORD INSTRUMENTS NANOTECHNOLOGY TOOLS LIMITED,RESEARCH,2017,266115,COMPANY
OXFORD LASERS LIMITED,RESEARCH,2017,248072,COMPANY
OXFORD LASERS LIMITED,RESEARCH,2018,1251407,COMPANY
OXFORD MESTAR LIMITED,RESEARCH,2018,396110,COMPANY
OXFORD MESTAR LIMITED,RESEARCH,2018,65306,COMPANY
OXFORD NANOSYSTEMS LTD,RESEARCH,2018,220983,COMPANY
OXFORD NANOSYSTEMS LTD,RESEARCH,2018,65380,COMPANY
OXFORD SPACE SYSTEMS LIMITED,RESEARCH,2017,391840,COMPANY
"OXFORD VACCINE GROUP, UNIVERSITY OF OXFORD",BUSINESS,2017,2991418,UNIVERSITY
OXFORD VR LIMITED,RESEARCH,2018,99514,COMPANY
OXIS ENERGY LIMITED,RESEARCH,2018,4637075,COMPANY
OXIS ENERGY LIMITED,RESEARCH,2018,121465,COMPANY
OXIS ENERGY LIMITED,RESEARCH,2018,498587,COMPANY
OXITEC LIMITED,RESEARCH,2016,218599,COMPANY
OXMET TECHNOLOGIES LIMITED,RESEARCH,2018,566131,COMPANY
OXSENSIS LIMITED,BUSINESS,2014,1223880,COMPANY
OXULAR LIMITED,RESEARCH,2017,690003,COMPANY
OXULAR LIMITED,RESEARCH,2018,128867,COMPANY
OZO INNOVATIONS LIMITED,RESEARCH,2017,590332,COMPANY
P&O FERRIES HOLDINGS LIMITED,RESEARCH,2017,1489614,COMPANY
P. I. BIOSCIENCE LIMITED,RESEARCH,2017,74326,COMPANY
P.A.K. ENGINEERING LIMITED,EDUCATION,2017,91718,COMPANY
P.E. COMPOSITES LIMITED,RESEARCH,2017,497542,COMPANY
P8E LTD,RESEARCH,2017,69040,COMPANY
PALL EUROPE LIMITED,RESEARCH,2017,1437419,COMPANY
PAPUA NEW GUINEA INST OF MED RESEARCH,RESEARCH,2016,3346448,COMPANY
PARAGRAF LIMITED,RESEARCH,2018,69943,COMPANY
PARCELVISION LIMITED,RESEARCH,2018,349986,COMPANY
PARKER HANNIFIN MANUFACTURING (UK) LIMITED,RESEARCH,2017,496384,COMPANY
PARKOPEDIA LIMITED,RESEARCH,2018,1206777,COMPANY
PARKSIDE FLEXIBLES (EUROPE) LIMITED,RESEARCH,2018,135514,COMPANY
PASSIVSYSTEMS LIMITED,RESEARCH,2018,128911,COMPANY
PBS INTERNATIONAL LTD,RESEARCH,2018,60816,COMPANY
PCR BIO SYSTEMS LIMITED,RESEARCH,2017,345940,COMPANY
PECM SYSTEMS LTD,RESEARCH,2018,80231,COMPANY
PELUCID LIMITED,RESEARCH,2017,182746,COMPANY
PENSO CONSULTING LTD,RESEARCH,2017,8197183,COMPANY
PEPSICO INTERNATIONAL LIMITED,RESEARCH,2017,229974,COMPANY
PEPSICO INTERNATIONAL LIMITED,RESEARCH,2015,1175227,COMPANY
PEPTINNOVATE LIMITED,RESEARCH,2018,69914,COMPANY
PERCEPTUAL ROBOTICS LIMITED,RESEARCH,2018,989926,COMPANY
PERFECTUS BIOMED LTD,RESEARCH,2017,70427,COMPANY
PERKINS ENGINES COMPANY LIMITED,RESEARCH,2015,15617112,COMPANY
PERKINS ENGINES COMPANY LIMITED,RESEARCH,2018,2004438,COMPANY
PERLEMAX LIMITED,RESEARCH,2016,779194,COMPANY
PERLEMAX LIMITED,EDUCATION,2016,258261,COMPANY
PERLEMAX LIMITED,RESEARCH,2017,109348,COMPANY
PERLEMAX LIMITED,RESEARCH,2018,87366,COMPANY
PERPETUUM LIMITED,RESEARCH,2018,901222,COMPANY
PERSONALYZE LIMITED,RESEARCH,2018,105465,COMPANY
PERSPECTUM DIAGNOSTICS LTD,RESEARCH,2017,1116603,COMPANY
PERSPECTUM DIAGNOSTICS LTD,EDUCATION,2016,229251,COMPANY
PERVASID LIMITED,RESEARCH,2018,281149,COMPANY
PET TECHNOLOGY LIMITED,RESEARCH,2018,274178,COMPANY
PHAM NGOC THACH UNIVERSITY OF MEDICINE,RESEARCH,2017,148294,UNIVERSITY
PHASE CHANGE MATERIAL PRODUCTS LTD,RESEARCH,2017,973319,COMPANY
PHASE CHANGE MATERIAL PRODUCTS LTD,RESEARCH,2018,365506,COMPANY
PHICO THERAPEUTICS LIMITED,RESEARCH,2018,1390139,COMPANY
PHOENIX SCIENTIFIC INDUSTRIES LIMITED,RESEARCH,2017,1029859,COMPANY
PHOREMOST LIMITED,RESEARCH,2017,1611749,COMPANY
PHOTOCENTRIC LIMITED,RESEARCH,2017,479153,COMPANY
PHOTOCENTRIC LIMITED,RESEARCH,2018,601532,COMPANY
PHOTON ENGINEERS LTD,RESEARCH,2018,293166,COMPANY
PHOTON FORCE LTD,RESEARCH,2017,395189,COMPANY
PHYSIOMICS PLC,RESEARCH,2018,68115,COMPANY
PHYTOFORM LABS LTD,RESEARCH,2018,69773,COMPANY
PICO TECHNOLOGY  LIMITED,RESEARCH,2018,320809,COMPANY
PIG IMPROVEMENT COMPANY UK LIMITED,RESEARCH,2015,475416,COMPANY
PIMLOC LIMITED,RESEARCH,2018,209142,COMPANY
PIRETA LIMITED,RESEARCH,2018,113678,COMPANY
PLANET OCEAN LIMITED,RESEARCH,2018,602590,COMPANY
PLANT INTEGRITY LIMITED,RESEARCH,2016,513703,COMPANY
PLASMA APP LTD.,RESEARCH,2018,370946,COMPANY
PLASTICELL LIMITED,RESEARCH,2015,1303198,COMPANY
PLASTICELL LIMITED,RESEARCH,2017,920438,COMPANY
PLASTICELL LIMITED,RESEARCH,2018,742238,COMPANY
PLATINA BIOMEDICAL TECHNOLOGIES LIMITED,RESEARCH,2018,68195,COMPANY
PLYMOUTH MARINE LABORATORY,EDUCATION,2016,128268,COMPANY
PLYMOUTH MARINE LABORATORY,RESEARCH,2012,357254,COMPANY
PLYMOUTH MARINE LABORATORY,RESEARCH,2014,2007263,COMPANY
PLYMOUTH MARINE LABORATORY,RESEARCH,2015,599840,COMPANY
PLYMOUTH MARINE LABORATORY,RESEARCH,2016,1335127,COMPANY
PLYMOUTH MARINE LABORATORY,RESEARCH,2017,7819352,COMPANY
PLYMOUTH MARINE LABORATORY,RESEARCH,2018,2692921,COMPANY
PM CORPORATION LIMITED(T/A EVERFRESH NATURAL FOODS,RESEARCH,2018,408547,COMPANY
PMW TECHNOLOGY LIMITED,RESEARCH,2017,157179,COMPANY
POINTO RECRUITMENT LIMITED,EDUCATION,2018,47112,COMPANY
POSTAL HERITAGE TRUST,RESEARCH,2018,37674,COMPANY
POSTULATE LTD,RESEARCH,2018,348821,COMPANY
POWER ENABLE SOLUTIONS LIMITED,EDUCATION,2018,144586,COMPANY
POWER ROLL LIMITED,RESEARCH,2018,643983,COMPANY
POWER ROLL LIMITED,RESEARCH,2017,143486,COMPANY
POWER TRANSITION  LTD,RESEARCH,2018,151397,COMPANY
POWERTRAIN R&D LIMITED,RESEARCH,2017,346995,COMPANY
POWERVAULT LTD,RESEARCH,2018,305716,COMPANY
POWERVAULT LTD,RESEARCH,2018,204047,COMPANY
PQSHIELD LTD,RESEARCH,2018,697058,COMPANY
PRAGMATIC PRINTING LIMITED,RESEARCH,2018,69873,COMPANY
PRE CHASM RESEARCH LIMITED,RESEARCH,2018,142132,COMPANY
PRECISION ACOUSTICS LIMITED,RESEARCH,2017,993129,COMPANY
PRECISION DECISIONS LIMITED,RESEARCH,2018,134168,COMPANY
PRECISION VARIONIC INTERNATIONAL LIMITED,RESEARCH,2016,1243871,COMPANY
PREDICTIMMUNE LIMITED,RESEARCH,2018,69820,COMPANY
PRESTON ELECTRIC VEHICLES LTD,RESEARCH,2018,105000,COMPANY
PRINTED ELECTRONICS LIMITED,EDUCATION,2016,52060,COMPANY
PRINTED ELECTRONICS LIMITED,RESEARCH,2018,204383,COMPANY
PRIORITY DIGITAL HEALTH LIMITED,RESEARCH,2018,51004,COMPANY
PRISM NOVA LIMITED,RESEARCH,2017,67461,COMPANY
PRISMA ELECTRONICS (UK) LTD,RESEARCH,2016,504417,COMPANY
PROCARTA BIOSYSTEMS LIMITED,RESEARCH,2018,459354,COMPANY
PROCESS SYSTEMS ENTERPRISE LIMITED,RESEARCH,2018,59786,COMPANY
PROCESS VISION LTD,RESEARCH,2018,642379,COMPANY
PROCESSORS & GROWERS RESEARCH ORGANISATION,RESEARCH,2014,280849,COMPANY
PROCESSORS & GROWERS RESEARCH ORGANISATION,RESEARCH,2018,92248,COMPANY
PRODUCTIV LIMITED,RESEARCH,2017,1059720,COMPANY
PRODUCTIV LIMITED,RESEARCH,2017,699249,COMPANY
PROGNOSTIX LIMITED,RESEARCH,2017,869783,COMPANY
PROJECT ANDIAMO LTD,RESEARCH,2017,958461,COMPANY
PROJECT PROVENANCE LIMITED,RESEARCH,2018,175082,COMPANY
PROKARIUM LIMITED,RESEARCH,2016,374331,COMPANY
PROKARIUM LIMITED,BUSINESS,2016,1035557,COMPANY
PROPELMEE LIMITED,RESEARCH,2018,199526,COMPANY
PROSIG LIMITED,RESEARCH,2017,398941,COMPANY
PROTEIN TECHNOLOGIES LIMITED,RESEARCH,2016,341695,COMPANY
PROVENANCE PARTNERS LIMITED,RESEARCH,2016,550482,COMPANY
PROXIMIE LIMITED,RESEARCH,2018,69924,COMPANY
PROZOMIX LIMITED,RESEARCH,2018,160714,COMPANY
PST SENSORS EUROPE LIMITED,RESEARCH,2018,199854,COMPANY
PSYOMICS LTD,RESEARCH,2017,183723,COMPANY
PSYROS DIAGNOSTICS  LTD,RESEARCH,2018,67772,COMPANY
PUBLIC HEALTH ENGLAND,RESEARCH,2017,273433,COMPANY
PUBLIC HEALTH FOUNDATION OF INDIA,RESEARCH,2015,121403,COMPANY
PUBLIC HEALTH FOUNDATION OF INDIA,RESEARCH,2017,673520,COMPANY
PULSIV SOLAR LIMITED,RESEARCH,2018,113823,COMPANY
PURIDIFY LTD.,RESEARCH,2018,342979,COMPANY
PV3 TECHNOLOGIES LTD,RESEARCH,2017,371210,COMPANY
PVOH POLYMERS LIMITED,RESEARCH,2018,310067,COMPANY
PVOH POLYMERS LIMITED,RESEARCH,2018,93862,COMPANY
PX HEALTHCARE LIMITED,RESEARCH,2018,39857,COMPANY
PYREOS LIMITED,RESEARCH,2017,739567,COMPANY
PYROGUARD UK LIMITED,RESEARCH,2018,384200,COMPANY
Q-BOT LIMITED,RESEARCH,2017,275996,COMPANY
Q-BOT LIMITED,RESEARCH,2018,1118264,COMPANY
Q-BOT LIMITED,RESEARCH,2017,262332,COMPANY
Q-BOT LIMITED,RESEARCH,2018,68156,COMPANY
QBOTS TECHNOLOGIES LTD,RESEARCH,2018,293049,COMPANY
QINETIQ GROUP PLC,RESEARCH,2016,1188880,COMPANY
QINETIQ LIMITED,RESEARCH,2018,948776,COMPANY
QINETIQ LIMITED,EDUCATION,2015,59916,COMPANY
QINETIQ LIMITED,RESEARCH,2017,152125,COMPANY
QIOPTIQ LIMITED,RESEARCH,2018,610804,COMPANY
QMC INSTRUMENTS LIMITED,EDUCATION,2015,119461,COMPANY
QUALITY MILK MANAGEMENT SERVICES LIMITED,RESEARCH,2018,300324,COMPANY
QUANTEMOL LIMITED,EDUCATION,2015,197503,COMPANY
QUANTOPTICON LTD.,RESEARCH,2018,122023,COMPANY
QUAY PHARMACEUTICALS LIMITED,EDUCATION,2015,221093,COMPANY
QUEEN MARGARET UNIVERSITY EDINBURGH,RESEARCH,2016,197099,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",EDUCATION,2014,506360,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",EDUCATION,2015,1534314,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",EDUCATION,2016,1585756,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",EDUCATION,2017,3832543,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",EDUCATION,2018,4955910,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",BUSINESS,2017,150887,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",RESEARCH,2014,11599320,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",RESEARCH,2015,13394713,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",RESEARCH,2016,7399855,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",RESEARCH,2017,14651980,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",RESEARCH,2018,17803069,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",RESEARCH,2011,5029442,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",RESEARCH,2014,5088854,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",RESEARCH,2015,2469095,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",RESEARCH,2016,1607380,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",RESEARCH,2017,1154647,UNIVERSITY
"QUEEN MARY, UNIVERSITY OF LONDON",RESEARCH,2018,2876051,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,BUSINESS,2016,4992305,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,RESEARCH,2016,910348,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,RESEARCH,2018,139117,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,EDUCATION,2015,675702,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,EDUCATION,2017,413902,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,EDUCATION,2018,1419100,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,BUSINESS,2015,221352,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,BUSINESS,2016,281139,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,BUSINESS,2017,1233350,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,BUSINESS,2018,1817415,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,RESEARCH,2013,13516542,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,RESEARCH,2014,3189065,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,RESEARCH,2015,13387268,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,RESEARCH,2016,8047110,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,RESEARCH,2017,22351462,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,RESEARCH,2018,12797260,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,RESEARCH,2014,4869036,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,RESEARCH,2015,1966893,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,RESEARCH,2016,2471756,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,RESEARCH,2017,529989,UNIVERSITY
QUEEN'S UNIVERSITY OF BELFAST,RESEARCH,2018,2482098,UNIVERSITY
QXBRANCH LLC,RESEARCH,2017,499985,COMPANY
R E A P SYSTEMS LTD.,RESEARCH,2016,1004645,COMPANY
R-TECH CONSULTANTS LIMITED,RESEARCH,2017,69962,COMPANY
R.E. BOWERS & FREEMAN LIMITED,RESEARCH,2018,376092,COMPANY
RAB MICROFLUIDICS RESEARCH AND DEVELOPMENT COMPANY LIMITED,RESEARCH,2018,128485,COMPANY
RADBOUD UNIVERSITY NIJMEGEN,OTHER GRANT,2017,1204510,UNIVERSITY
RADMOD RESEARCH LTD.,RESEARCH,2018,317982,COMPANY
RAILVIEW LIMITED,RESEARCH,2018,850963,COMPANY
RAM INNOVATIONS LTD,RESEARCH,2017,751276,COMPANY
RANDOX LABORATORIES LIMITED,RESEARCH,2018,727500,COMPANY
RANDOX LABORATORIES LIMITED,RESEARCH,2017,495712,COMPANY
RANPLAN WIRELESS NETWORK DESIGN LTD,RESEARCH,2018,348381,COMPANY
RANPLAN WIRELESS NETWORK DESIGN LTD,EDUCATION,2017,307692,COMPANY
RAPHAELLA DESIGNS,RESEARCH,2018,8414,COMPANY
RAPID POWDERS LIMITED,RESEARCH,2018,166485,COMPANY
RAPITA SYSTEMS LIMITED,EDUCATION,2016,122320,COMPANY
RAWWATER ENGINEERING COMPANY LIMITED,RESEARCH,2018,297534,COMPANY
RAWWATER ENGINEERING COMPANY LIMITED,RESEARCH,2017,699494,COMPANY
RBD HOLDINGS LIMITED,RESEARCH,2018,85717,COMPANY
RCM2 LIMITED,RESEARCH,2018,961604,COMPANY
READING SCIENTIFIC SERVICES LIMITED (ENTITY OF MONDELEZ INTERNATIONAL),RESEARCH,2016,790765,COMPANY
RECYCLING TECHNOLOGIES LTD,RESEARCH,2016,687890,COMPANY
RECYCLING TECHNOLOGIES LTD,RESEARCH,2017,975144,COMPANY
RED CROSS RED CRESCENT CLIMATE CENTRE,RESEARCH,2015,193121,COMPANY
REDBITE SOLUTIONS LTD,RESEARCH,2018,677672,COMPANY
REDBRICK ENTERPRISES LIMITED,RESEARCH,2018,236836,COMPANY
REDWAVE LABS LTD,RESEARCH,2018,101507,COMPANY
REFGAS LIMITED,RESEARCH,2017,646433,COMPANY
RELIABLE DATA SYSTEMS INTERNATIONAL LIMITED,RESEARCH,2018,636715,COMPANY
RELIANCE PRECISION LIMITED,RESEARCH,2017,666383,COMPANY
RENEPHRA LIMITED,RESEARCH,2018,90137,COMPANY
RENEURON LIMITED,RESEARCH,2016,2104240,COMPANY
RENEURON LIMITED,RESEARCH,2017,1766825,COMPANY
RENEURON LIMITED,RESEARCH,2018,1530973,COMPANY
RENEURON LIMITED,RESEARCH,2018,69996,COMPANY
RENEWABLE ADVICE LTD,RESEARCH,2017,1117919,COMPANY
RENISHAW P L C,RESEARCH,2015,778802,COMPANY
RENISHAW P L C,RESEARCH,2017,840093,COMPANY
RENOVO SOUTH ENGINEERING SERVICES LTD,RESEARCH,2017,296563,COMPANY
RERUM CONSULTANCY LIMITED,RESEARCH,2018,68610,COMPANY
RESEARCH COMPLEX AT HARWELL,RESEARCH,2013,1847559,COMPANY
RETINASCAN LIMITED,RESEARCH,2018,787359,COMPANY
RETURN LOADS LLP,RESEARCH,2017,102958,COMPANY
REVIVOCELL LIMITED,RESEARCH,2018,69724,COMPANY
REVOLVE TECHNOLOGIES LIMITED,RESEARCH,2017,857629,COMPANY
REXGENERO LIMITED,RESEARCH,2018,1349001,COMPANY
RFC POWER LIMITED,RESEARCH,2018,219530,COMPANY
RICARDO UK LIMITED,RESEARCH,2018,4838287,COMPANY
RICHMOND DESIGN & MARKETING LIMITED,RESEARCH,2016,856767,COMPANY
RICHMOND DESIGN & MARKETING LIMITED,RESEARCH,2017,1568241,COMPANY
RICHMOND DESIGN & MARKETING LIMITED,RESEARCH,2018,2454004,COMPANY
RIDGEWAY BIOLOGICALS LIMITED,RESEARCH,2015,316891,COMPANY
RINICOM LIMITED,EDUCATION,2016,178730,COMPANY
RIVER LANE RESEARCH LTD,RESEARCH,2018,279838,COMPANY
RIVERSIDE MEDICAL PACKAGING COMPANY LIMITED,RESEARCH,2017,394090,COMPANY
