LeadROName,ProjectCategory,year,AwardPounds,ProviderType
APOLLO RAIL LTD,RESEARCH,2018,338506,COMPANY
APPLIED INSPECTION LIMITED,RESEARCH,2017,726553,COMPANY
APPLIED NANODETECTORS LIMITED,RESEARCH,2017,361903,COMPANY
APPLIED PHOTOPHYSICS LIMITED,RESEARCH,2016,614375,COMPANY
APPLIED PHOTOPHYSICS LIMITED,RESEARCH,2018,38138,COMPANY
APS BIOCONTROL LIMITED,RESEARCH,2015,244826,COMPANY
APS BIOCONTROL LIMITED,RESEARCH,2016,145681,COMPANY
APS BIOCONTROL LIMITED,RESEARCH,2018,1119822,COMPANY
AQDOT LIMITED,RESEARCH,2017,691712,COMPANY
AQUASIUM TECHNOLOGY LIMITED,RESEARCH,2017,672030,COMPANY
ARC TRINOVA LIMITED,RESEARCH,2018,1439929,COMPANY
ARC TRINOVA LIMITED,RESEARCH,2018,1036395,COMPANY
ARCH UK BIOCIDES LIMITED,RESEARCH,2015,477468,COMPANY
ARCHANGEL IMAGING LTD.,RESEARCH,2018,139917,COMPANY
ARCHIPELAGO TECHNOLOGY GROUP LTD,RESEARCH,2017,888564,COMPANY
ARCOLA ENERGY LIMITED,RESEARCH,2018,469141,COMPANY
ARCTORIS LTD,RESEARCH,2018,511773,COMPANY
ARECOR LIMITED,RESEARCH,2017,2261267,COMPANY
ARETE MEDICAL TECHNOLOGIES LTD,RESEARCH,2018,120521,COMPANY
ARID AGRITEC LIMITED,RESEARCH,2017,773712,COMPANY
ARIEL MOTOR COMPANY (AUTOMOTIVE) LIMITED,RESEARCH,2017,6213129,COMPANY
ARM LIMITED,RESEARCH,2017,1339655,COMPANY
ARMAGH OBSERVATORY,RESEARCH,2014,42201,COMPANY
ARMAGH OBSERVATORY,RESEARCH,2015,583388,COMPANY
ARMAGH OBSERVATORY,RESEARCH,2018,544934,COMPANY
ARMAGH OBSERVATORY,RESEARCH,2015,215377,COMPANY
ARMAGH OBSERVATORY,RESEARCH,2017,74539,COMPANY
ARQIT LIMITED,RESEARCH,2018,3251717,COMPANY
ARRIVA UK TRAINS LIMITED,RESEARCH,2017,740677,COMPANY
ARRIVAL LIMITED,RESEARCH,2018,6820884,COMPANY
