LeadROName,ProjectCategory,year,Region,AwardPounds
AMS SENSORS UK LIMITED,COLLABORATIVE R&D,2017,EAST OF ENGLAND,316702.0
ANACAIL LIMITED,COLLABORATIVE R&D,2018,SCOTLAND,336396.0
ANACAIL LIMITED,FEASIBILITY STUDIES,2017,SCOTLAND,118316.0
ANACAIL LIMITED,FEASIBILITY STUDIES,2018,SCOTLAND,163278.0
ANALOX SENSOR TECHNOLOGY LIMITED,COLLABORATIVE R&D,2015,YORKSHIRE AND THE HUMBER,449177.0
ANB SENSORS LTD,FEASIBILITY STUDIES,2018,EAST OF ENGLAND,116193.0
ANDREW LUCAS LIMITED,FEASIBILITY STUDIES,2017,LONDON,271044.0
ANDROMEDA DIGITAL LIMTED,EU-FUNDED,2016,EAST OF ENGLAND,275721.0
ANGLIA RUSKIN UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2017,EAST OF ENGLAND,113481.0
ANGLIA RUSKIN UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2018,EAST OF ENGLAND,87188.0
ANGLO BIOPHARMA LIMITED,FEASIBILITY STUDIES,2018,SOUTH EAST,78011.0
ANTICH & SONS (HUDDERSFIELD) LIMITED,COLLABORATIVE R&D,2017,YORKSHIRE AND THE HUMBER,2150543.0
ANTITOPE LIMITED,EU-FUNDED,2016,EAST OF ENGLAND,144966.0
ANTIVERSE LTD,FEASIBILITY STUDIES,2018,UNKNOWN,69750.0
APARITO LIMITED,COLLABORATIVE R&D,2017,LONDON,201023.0
API COGNITION LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,52499.0
APOLLO RAIL LTD,COLLABORATIVE R&D,2018,UNKNOWN,338506.0
APPLIED INSPECTION LIMITED,FEASIBILITY STUDIES,2017,LONDON,726553.0
APPLIED NANODETECTORS LIMITED,COLLABORATIVE R&D,2017,LONDON,361903.0
APPLIED PHOTOPHYSICS LIMITED,COLLABORATIVE R&D,2016,UNKNOWN,614375.0
APPLIED PHOTOPHYSICS LIMITED,FEASIBILITY STUDIES,2018,UNKNOWN,38138.0
