Value,Year,ProviderType,Purpose,ProviderName
1323244,2012,COLLEGE,EDUCATION,BICTON COLLEGE
324060,2012,COLLEGE,EDUCATION,BIRKENHEAD SIXTH FORM COLLEGE
5405211,2012,COMPANY,EDUCATION,BIRMINGHAM CITY COUNCIL
6625055,2012,COMPANY,EDUCATION,BIRMINGHAM CITY COUNCIL
180643,2012,UNIVERSITY,EDUCATION,BIRMINGHAM CITY UNIVERSITY
91143,2012,COMPANY,EDUCATION,BIRMINGHAM ELECTRICAL TRAINING LTD
359082,2012,COMPANY,EDUCATION,BIRMINGHAM ELECTRICAL TRAINING LTD
247546,2012,COLLEGE,EDUCATION,BIRMINGHAM METROPOLITAN COLLEGE 
4377079,2012,COLLEGE,EDUCATION,BIRMINGHAM METROPOLITAN COLLEGE 
30251885,2012,COLLEGE,EDUCATION,BIRMINGHAM METROPOLITAN COLLEGE 
156578,2012,COLLEGE,EDUCATION,BISHOP AUCKLAND COLLEGE
459434,2012,COLLEGE,EDUCATION,BISHOP AUCKLAND COLLEGE
5587083,2012,COLLEGE,EDUCATION,BISHOP AUCKLAND COLLEGE
9219,2012,COLLEGE,EDUCATION,BISHOP BURTON COLLEGE
549480,2012,COLLEGE,EDUCATION,BISHOP BURTON COLLEGE
1969667,2012,COLLEGE,EDUCATION,BISHOP BURTON COLLEGE
506261,2012,COMPANY,EDUCATION,BL TRAINING LIMITED
1313710,2012,COMPANY,EDUCATION,BL TRAINING LIMITED
1169014,2012,COMPANY,EDUCATION,BLACK COUNTRY TRAINING GROUP LIMITED
8446990,2012,COMPANY,EDUCATION,BLACK COUNTRY TRAINING GROUP LIMITED
1304824,2012,COLLEGE,EDUCATION,BLACKBURN COLLEGE
7656113,2012,COLLEGE,EDUCATION,BLACKBURN COLLEGE
119716,2012,COMPANY,EDUCATION,BLACKBURN WITH DARWEN BOROUGH COUNCIL
805979,2012,COMPANY,EDUCATION,BLACKBURN WITH DARWEN BOROUGH COUNCIL
41856,2012,COLLEGE,EDUCATION,BLACKPOOL AND THE FYLDE COLLEGE
1274983,2012,COLLEGE,EDUCATION,BLACKPOOL AND THE FYLDE COLLEGE
8886637,2012,COLLEGE,EDUCATION,BLACKPOOL AND THE FYLDE COLLEGE
38432,2012,COMPANY,EDUCATION,BLACKPOOL BOROUGH COUNCIL
566754,2012,COMPANY,EDUCATION,BLACKPOOL BOROUGH COUNCIL
269387,2012,COMPANY,EDUCATION,BLUE TRAINING (U.K.) LIMITED
1630904,2012,COMPANY,EDUCATION,BLUE TRAINING (U.K.) LIMITED
295489,2012,COLLEGE,EDUCATION,BOLTON COLLEGE
1025930,2012,COLLEGE,EDUCATION,BOLTON COLLEGE
7280777,2012,COLLEGE,EDUCATION,BOLTON COLLEGE
163464,2012,COMPANY,EDUCATION,BOLTON METROPOLITAN BOROUGH COUNCIL
2079667,2012,COMPANY,EDUCATION,BOLTON METROPOLITAN BOROUGH COUNCIL
