LeadROName,StartDate,AwardPounds
AUTONAUT LIMITED,2018,395001.0
AUTONOMOUS DEVICES LIMITED,2017,62960.0
AUTONOMOUS SURFACE VEHICLES LIMITED,2015,714196.0
AUTONOMOUS SURFACE VEHICLES LIMITED,2017,264245.0
AUTONOMOUS SURFACE VEHICLES LIMITED,2018,1356560.0
AUTOTECH ENGINEERING R&D UK LIMITED,2018,602904.0
AUTOTRIP LTD,2017,161605.0
AVALON BEHAVIOUR VENTURES LIMITED,2015,438937.0
AVALON BEHAVIOUR VENTURES LIMITED,2018,106006.0
AVALON PRODUCE LIMITED,2016,137307.0
AVALON SCIENCES LIMITED,2017,220745.0
AVANTI COMMUNICATIONS LIMITED,2015,2075472.0
AVANTI COMMUNICATIONS LIMITED,2016,2125090.0
AVANTI COMMUNICATIONS LIMITED,2017,917849.0
AVL POWERTRAIN UK LIMITED,2017,1362496.0
AVL POWERTRAIN UK LIMITED,2018,317829.0
AVON POLYMER PRODUCTS LIMITED,2018,106572.0
AVONWOOD DEVELOPMENTS LIMITED,2017,673685.0
AXI-TEK LTD,2018,69030.0
AXIS BIOSERVICES LIMITED,2018,307205.0
AYUDA HEURISTICS LTD,2018,620129.0
AZELLON LTD,2015,1622220.0
B G RESEARCH LIMITED,2017,69849.0
B G RESEARCH LIMITED,2018,665353.0
B-HIVE INNOVATIONS LIMITED,2017,956027.0
B-HIVE INNOVATIONS LIMITED,2018,510688.0
BABCOCK INTEGRATED TECHNOLOGY LIMITED,2016,694453.0
BABRAHAM INSTITUTE,2014,94126.0
BABRAHAM INSTITUTE,2015,613619.0
BABRAHAM INSTITUTE,2016,2293521.0
BABRAHAM INSTITUTE,2017,1078788.0
BABRAHAM INSTITUTE,2018,1448618.0
BAE SYSTEMS (OPERATIONS) LIMITED,2018,516025.0
BAM NUTTALL LIMITED,2015,431090.0
BANGOR UNIVERSITY,2014,3898100.0
BANGOR UNIVERSITY,2015,2075481.0
BANGOR UNIVERSITY,2016,1402997.0
BANGOR UNIVERSITY,2017,6390338.0
BANGOR UNIVERSITY,2018,2823852.0
BARE CONDUCTIVE LTD,2018,89996.0
BARRIER EX LIMITED,2018,214929.0
BARRNON LTD,2018,1499950.0
BASE MATERIALS LIMITED,2017,1057204.0
BATH SPA UNIVERSITY,2014,766260.0
BATH SPA UNIVERSITY,2016,210907.0
BATH SPA UNIVERSITY,2017,1429856.0
BE MORE DIGITAL LIMITED,2018,46876.0
BEAMLINE DIAGNOSTICS LIMITED,2018,750594.0
BEKO PLC,2017,104227.0
