,LeadROName,Department,ProjectCategory,AwardPounds,Region,year
5768,Cranfield University,"School of Water, Energy and Environment",Research Grant,236807.0,East of England,2017
5769,University of Birmingham,School of Physics and Astronomy,Research Grant,88748.0,West Midlands,2018
5770,University of Southampton,Sch of Mathematical Sciences,Training Grant,10403880.0,South East,2018
5771,University of Leeds,Sch of Molecular & Cellular Biology,Research Grant,466043.0,Yorkshire and The Humber,2017
5772,University of Manchester,Physics and Astronomy,Research Grant,4521976.0,North West,2017
5773,University of Oxford,Biochemistry,Fellowship,1359706.0,South East,2014
5774,University of Exeter,University of Exeter Medical School,Research Grant,3385412.0,South West,2015
5775,London School of Economics & Pol Sci,Institute of Global Affairs,Research Grant,4184543.0,London,2017
5776,Durham University,Geography,Fellowship,406340.0,North East,2013
5777,University of Glasgow,College of Science and Engineering,Fellowship,121997.0,Scotland,2015
5778,Censo Biotechnologies Ltd,,Feasibility Studies,69242.0,Scotland,2018
5779,University of Manchester,Electrical and Electronic Engineering,Research Grant,4650283.0,North West,2017
5780,University of Hertfordshire,,CRD,92689.0,East of England,2018
5781,Durham University,Geography,Training Grant,151088.0,North East,2017
5782,Springboard Research Ltd,,Collaborative R&D,686016.0,South East,2016
5783,University College London,Medical Physics and Biomedical Eng,Research Grant,150663.0,London,2017
5784,University of Leeds,School of Earth and Environment,Research Grant,804386.0,Yorkshire and The Humber,2015
5785,University of Portsmouth,Institute of Cosmology and Gravitation,Training Grant,141734.0,South East,2014
5786,University of Ulster,,Knowledge Transfer Partnership,90750.0,Northern Ireland,2016
5787,University of Southampton,"Sch of Economic, Social & Political Sci",Research Grant,404130.0,South East,2017
5788,Queen's University of Belfast,Sch of Chemistry and Chemical Eng,Research Grant,99122.0,Northern Ireland,2018
5789,Airbus Operations Limited,,BIS-Funded Programmes,10041054.0,South West,2017
5790,Imperial College London,Dept of Bioengineering,Research Grant,100760.0,London,2018
5791,University of Leeds,Mechanical Engineering,Research Grant,100984.0,Yorkshire and The Humber,2017
5792,Aberystwyth University,IBERS,Research Grant,896228.0,Wales,2014
5793,University of Leeds,"Sch of Languages, Cultures and Societies",Research Grant,243465.0,Yorkshire and The Humber,2018
5794,Bournemouth University,,Knowledge Transfer Partnership,114872.0,South West,2018
5795,London Sch of Hygiene and Trop Medicine,Public Health and Policy,Research Grant,118637.0,London,2018
5796,University of East Anglia,Environmental Sciences,Research Grant,794803.0,East of England,2015
5797,University of Birmingham,History and Cultures,Research Grant,142690.0,West Midlands,2016
5798,University of Edinburgh,The Roslin Institute,Research Grant,530236.0,Scotland,2017
5799,Eight19 Limited,,Feasibility Studies,158100.0,Unknown,2018
5800,University of Birmingham,Economics,Fellowship,315636.0,West Midlands,2018
5801,University of Warwick,Physics,Research Grant,456825.0,West Midlands,2016
5802,Institute of Food Research,Food Innovation and Health,Research Grant,181049.0,East of England,2016
5803,Autonomous Surface Vehicles Limited,,Collaborative R&D,689071.0,South East,2018
5804,University of York,Chemistry,Research Grant,132111.0,Yorkshire and The Humber,2018
5805,Advanced Innovative Engineering (uk) Limited,,Collaborative R&D,529477.0,West Midlands,2015
5806,Queen's University of Belfast,Sch of Politics Int Stu and Philosophy,Fellowship,128336.0,Northern Ireland,2017
5807,"Royal Holloway, University of London",Information Security,Research Grant,156233.0,South East,2018
5808,University of Sheffield,Physics and Astronomy,Research Grant,99916.0,Yorkshire and The Humber,2018
5809,University of Exeter,Politics,Research Grant,361743.0,South West,2017
5810,University of Sheffield,Animal and Plant Sciences,Research Grant,702353.0,Yorkshire and The Humber,2014
5811,Durham University,Vice Chancellor's Office,Training Grant,5338026.0,North East,2014
5812,University of Bristol,Physics,Fellowship,1184067.0,South West,2015
5813,University of York,Mathematics,Research Grant,101079.0,Yorkshire and The Humber,2017
5814,Jri Orthopaedics Limited,,Collaborative R&D,721412.0,Yorkshire and The Humber,2018
5815,University of Stirling,Psychology,Research Grant,383823.0,Scotland,2018
5816,University of Exeter,Management,Research Grant,1116751.0,South West,2018
5817,University of Birmingham,Metallurgy and Materials,Training Grant,1537500.0,West Midlands,2017
5818,Heriot-Watt University,Sch of Social Sciences,Research Grant,494403.0,Scotland,2018
5819,University of Nottingham,Sch of Sociology & Social Policy,Research Grant,323181.0,East Midlands,2018
5820,Brunel University,Arts and Humanities,Fellowship,159045.0,London,2016
5821,CCm Research Limited,,Feasibility Studies,576024.0,South East,2017
5822,University of West London,"College of Nursing, Midwifery and Health",Research Grant,79860.0,London,2018
5823,I-Renewable Energy Ltd,,Collaborative R&D,167440.0,Unknown,2018
5824,Lancaster University,Lancaster Environment Centre,Research Grant,286288.0,North West,2015
5825,Loowatt Ltd,,Collaborative R&D,268333.0,North West,2017
5826,Newcastle University,Sch of Natural Sciences & Env Sciences,Research Grant,475287.0,North East,2016
5827,University of Leeds,School of Earth and Environment,Research Grant,101813.0,Yorkshire and The Humber,2017
5828,University of Sheffield,Politics,Fellowship,92327.0,Yorkshire and The Humber,2018
5829,University of Sheffield,Geography,Research Grant,28269.0,Yorkshire and The Humber,2018
5830,University of Cambridge,Law,Research Grant,248710.0,East of England,2015
5831,NERC British Antarctic Survey,Science Programmes,Research Grant,340257.0,East of England,2017
5832,"Queen Mary, University of London",Blizard Institute of Cell and Molecular,Fellowship,199809.0,London,2015
5833,Advanced Hall Sensors Limited,,Collaborative R&D,367739.0,North West,2017
5834,Rolls-Royce plc,,CRD,13800000.0,London,2018
5835,Liverpool School of Tropical Medicine,Clinical Sciences,Research Grant,3046154.0,North West,2018
5836,Imperial College London,The Centre for Environmental Policy,Fellowship,365527.0,London,2018
5837,University of Leeds,Electronic and Electrical Engineering,Research Grant,393401.0,Yorkshire and The Humber,2016
5838,University of Manchester,Chemistry,Research Grant,3038983.0,North West,2015
5839,Bournemouth University,The Business School,Research Grant,146114.0,South West,2015
5840,University of Exeter,Management,Training Grant,400000.0,South West,2018
5841,University of Bath,,Knowledge Transfer Partnership,170563.0,South West,2017
5842,University of Leeds,School of Food Science and Nutrition,Research Grant,402178.0,Yorkshire and The Humber,2015
5843,Soil Machine Dynamics Limited,,Collaborative R&D,738486.0,North East,2018
5844,Imperial College London,Dept of Mechanical Engineering,Training Grant,2200000.0,London,2011
5845,Swansea University,College of Science,Research Grant,717372.0,Wales,2014
5846,Ncc Operations Limited,,CRD,6289421.0,South West,2018
5847,University of Oxford,Oxford Physics,Research Grant,351764.0,South East,2017
5848,Manrochem Limited,,Collaborative R&D,1006479.0,Unknown,2018
5849,Zeal Innovation Ltd,,Collaborative R&D,654332.0,Wales,2017
5850,University of Bristol,Electrical and Electronic Engineering,Research Grant,842456.0,South West,2015
5851,University of Edinburgh,Centre for Speech Technology Research,Research Grant,533267.0,Scotland,2016
5852,University of Manchester,Earth Atmospheric and Env Sciences,Research Grant,508384.0,North West,2017
5853,University of Oxford,Weatherall Inst of Molecular Medicine,Research Grant,449258.0,South East,2015
5854,Phoremost Limited,,Collaborative R&D,594208.0,East of England,2017
5855,University of Glasgow,"College of Medical, Veterinary &Life Sci",Research Grant,800891.0,Scotland,2017
5856,King's College London,History,Research Grant,812959.0,London,2017
5857,King's College London,Social Genetic and Dev Psychiatry Centre,Research Grant,2137490.0,London,2015
5858,University of Edinburgh,Sch of Geosciences,Research Grant,530514.0,Scotland,2014
5859,University of Manchester,School of Health Sciences,Research Grant,462081.0,North West,2016
5860,University College London,Civil Environmental and Geomatic Eng,Research Grant,678634.0,London,2018
5861,University of Oxford,Biochemistry,Research Grant,331617.0,South East,2015
5862,Northumbria University,Fac of Engineering and Environment,Research Grant,90082.0,North East,2017
5863,University of Glasgow,Research and Enterprise,Training Grant,200000.0,Scotland,2018
5864,University of Surrey,Biochemistry & Physiology,Research Grant,706844.0,South East,2016
5865,Energy Systems Catapult Limited,,CRD,2000000.0,South West,2018
5866,Cranfield University,"Sch of Aerospace, Transport & Manufact",Research Grant,282840.0,East of England,2015
5867,University of York,Centre for Health Economics,Research Grant,830081.0,Yorkshire and The Humber,2018
5868,Diagnostics for the Real World (Europe) Limited,,Collaborative R&D,948115.0,East of England,2017
5869,University of Edinburgh,College of Science and Engineering,Training Grant,3334420.0,Scotland,2014
5870,University of Bath,Biology and Biochemistry,Fellowship,157030.0,South West,2018
5871,University of Nottingham,School of Life Sciences,Training Grant,99034.0,East Midlands,2018
5872,Cranfield University,"Sch of Aerospace, Transport & Manufact",Research Grant,970750.0,East of England,2018
5873,University College London,MRC Clinical Trials Unit,Research Grant,3713675.0,London,2014
5874,University of Bristol,Mechanical Engineering,Research Grant,1653338.0,South West,2018
5875,University of Cambridge,Cancer Research UK Cambridge Institute,Research Grant,507308.0,East of England,2018
5876,University of Reading,Art,Research Grant,775988.0,South East,2018
5877,Earlham Institute,Directorate Office,Research Grant,149610.0,East of England,2018
5878,University College London,Geography,Research Grant,653033.0,London,2016
5879,University of Bristol,Cellular and Molecular Medicine,Research Grant,412230.0,South West,2015
5880,Imperial College London,Dept of Computing,Fellowship,1579794.0,London,2018
5881,Brunel University,Mathematics,Research Grant,91852.0,London,2017
5882,Imperial College London,Dept of Surgery and Cancer,Fellowship,143301.0,London,2017
5883,Three Media Associates Ltd,,Feasibility Studies,412217.0,Unknown,2018
5884,Innovative Technology and Science Limited,,Collaborative R&D,368472.0,East of England,2016
5885,University of Manchester,School of Biological Sciences,Research Grant,496874.0,North West,2017
5886,University of Exeter,Biosciences,Training Grant,161340.0,South West,2015
5887,University of Glasgow,School of Psychology,Research Grant,575227.0,Scotland,2018
5888,Cardiff University,School of Earth and Ocean Sciences,Research Grant,98809.0,Wales,2014
5889,University of Nottingham,Research and Graduate Services,Research Grant,15523196.0,East Midlands,2012
5890,University of Edinburgh,Sch of Physics and Astronomy,Fellowship,403142.0,Scotland,2014
5891,Research Complex at Harwell,,Research Grant,1847559.0,South East,2013
5892,Newcastle University,Sch of Computing,Research Grant,4353850.0,North East,2016
5893,University of Cambridge,Engineering,Research Grant,304873.0,East of England,2016
5894,University of Cambridge,Pharmacology,Research Grant,394988.0,East of England,2018
5895,Power Enable Solutions Limited,,Study,144586.0,Unknown,2018
5896,University of Manchester,Physics and Astronomy,Research Grant,359032.0,North West,2018
5897,University of Glasgow,College of Arts,Research Grant,798834.0,Scotland,2015
5898,University of Glasgow,School of Mathematics & Statistics,Research Grant,91118.0,Scotland,2016
5899,University of Manchester,Earth Atmospheric and Env Sciences,Fellowship,406514.0,North West,2018
5900,Plymouth Marine Laboratory,Plymouth Marine Lab,Research Grant,357254.0,South West,2012
5901,University of Manchester,Arts Languages and Cultures,Research Grant,264323.0,North West,2018
5902,University College London,Medical Physics and Biomedical Eng,Other Grant,4967256.0,London,2014
5903,University of East Anglia,Chemistry,Research Grant,352952.0,East of England,2016
5904,University of St Andrews,Physics and Astronomy,Research Grant,758100.0,Scotland,2017
5905,University of Leeds,Law,Research Grant,35994.0,Yorkshire and The Humber,2016
5906,Imperial College London,National Heart and Lung Institute,Training Grant,106212.0,London,2017
5907,University of Nottingham,Sch of Biosciences,Research Grant,481651.0,East Midlands,2018
5908,University of Lincoln,College of Arts,Research Grant,75529.0,East Midlands,2017
5909,Talga Technologies Limited,,Collaborative R&D,956424.0,East of England,2018
5910,University of Hertfordshire,,Feasibility Studies,14032.0,East of England,2018
5911,The Wellcome Trust  Sanger Institute,Pathogen Variation,Research Grant,235897.0,East of England,2018
5912,University of Oxford,Clinical Neurosciences,Fellowship,296641.0,South East,2015
5913,University of Cambridge,Research Services Division,Research Grant,7566454.0,East of England,2013
5914,University of Leeds,School of Earth and Environment,Research Grant,242476.0,Yorkshire and The Humber,2018
5915,Manchester Metropolitan University,School of Healthcare Science,Research Grant,77604.0,North West,2018
5916,Newcastle University,Institute of Genetic Medicine,Research Grant,359758.0,North East,2017
5917,University of Warwick,Mathematics,Research Grant,2048925.0,West Midlands,2013
5918,University of Leeds,Civil Engineering,Research Grant,187072.0,Yorkshire and The Humber,2018
5919,NERC British Antarctic Survey,Science Programmes,Research Grant,88993.0,East of England,2017
5920,University of Liverpool,Chemistry,Research Grant,176659.0,North West,2017
5921,Loughborough University,"Wolfson Sch of Mech, Elec & Manufac Eng",Research Grant,401631.0,East Midlands,2014
5922,Lucozade Ribena Suntory Limited,,Collaborative R&D,583097.0,London,2017
5923,Newcastle University,Northern Institute for Cancer Research,Research Grant,1834085.0,North East,2016
5924,University of Oxford,"Mathematical, Physical&Life Sciences Div",Training Grant,1085353.0,South East,2012
5925,University of Nottingham,,Knowledge Transfer Partnership,116738.0,East Midlands,2015
5926,University of Cambridge,Biochemistry,Training Grant,95042.0,East of England,2015
5927,University of Manchester,Chem Eng and Analytical Science,Research Grant,100649.0,North West,2018
5928,University of Warwick,Chemistry,Research Grant,473929.0,West Midlands,2018
5929,University of Bristol,Physiology and Pharmacology,Research Grant,571227.0,South West,2016
5930,Sg Biodrying Limited,,Feasibility Studies,224356.0,East Midlands,2017
5931,Chromition Limited,,Collaborative R&D,378650.0,North West,2017
5932,Imperial College London,Dept of Medicine,Research Grant,411181.0,London,2018
5933,University of Bath,Vice Chancellor's Office,Training Grant,72207.0,South West,2018
5934,Costain Limited,,Collaborative R&D,389039.0,South East,2017
5935,University of Manchester,Electrical and Electronic Engineering,Research Grant,590212.0,North West,2016
5936,Soter Analytics Ltd,,Feasibility Studies,59185.0,Unknown,2018
5937,Babraham Institute,Lymphocyte Signalling and Development,Research Grant,487485.0,East of England,2016
5938,University of Oxford,Experimental Psychology,Fellowship,457930.0,South East,2018
5939,GE Aviation Systems Limited,,BIS-Funded Programmes,9953241.0,South West,2017
5940,University of Oxford,Oxford Physics,Research Grant,696404.0,South East,2015
5941,Loughborough University,Sch of Sport Exercise & Health Sciences,Research Grant,250368.0,East Midlands,2017
5942,University of Cambridge,Chemistry,Research Grant,83583.0,East of England,2015
5943,University College London,Speech Hearing and Phonetic Science,Research Grant,482086.0,London,2017
5944,John Innes Centre,Metabolic Biology,Training Grant,95042.0,East of England,2015
5945,University of Edinburgh,MRC Human Genetics Unit,Fellowship,258756.0,Scotland,2018
5946,University of Essex,Inst for Social and Economic Research,Research Grant,300882.0,East of England,2018
5947,The Jordans & Ryvita Company Limited,,Collaborative R&D,367965.0,London,2016
5948,Durham University,Government and International Affairs,Research Grant,242687.0,North East,2016
5949,Toshiba Research Europe Limited,,Collaborative R&D,880067.0,East of England,2017
5950,University of Warwick,School of Life Sciences,Research Grant,389910.0,West Midlands,2015
5951,University of Edinburgh,Sch of Geosciences,Research Grant,276990.0,Scotland,2014
5952,Open University,"Faculty of Sci, Tech, Eng & Maths (STEM)",Training Grant,301328.0,South East,2018
5953,University of Southampton,Cancer Sciences,Training Grant,95042.0,South East,2015
5954,University of Bath,Chemistry,Research Grant,1277228.0,South West,2018
5955,Atkins UK,,Collaborative R&D,3221648.0,East of England,2015
5956,GKN Aerospace Services Limited,,BIS-Funded Programmes,4000000.0,South East,2016
5957,University of Cambridge,Plant Sciences,Training Grant,94126.0,East of England,2014
5958,Edinburgh Napier University,School of Applied Science,Research Grant,351320.0,Scotland,2018
5959,Heriot-Watt University,Sch of Engineering and Physical Science,Research Grant,293056.0,Scotland,2018
5960,University of Cambridge,Physiology Development and Neuroscience,Research Grant,528228.0,East of England,2018
5961,University of Southampton,Clinical and Experimental Sciences,Research Grant,349122.0,South East,2017
5962,University of Bristol,Clinical Veterinary Science,Research Grant,10322.0,South West,2018
5963,Cranfield University,Administration,Training Grant,333184.0,East of England,2017
5964,University of Cambridge,Applied Maths and Theoretical Physics,Research Grant,261159.0,East of England,2017
5965,Imperial College London,Earth Science and Engineering,Research Grant,169262.0,London,2018
5966,University of Cape Town,Environmental and Geographical Sciences,Research Grant,1536454.0,Outside UK,2015
5967,University of Cambridge,Wolfson Brain Imaging Centre,Research Grant,1041820.0,East of England,2017
5968,Synaptiv Limited,,Feasibility Studies,69597.0,Unknown,2018
5969,Greater Manchester Strategic Clinical Networks,,CRD,975572.0,Unknown,2018
5970,Harper Adams University,Engineering,Research Grant,85851.0,West Midlands,2018
5971,Newcastle University,Institute of Genetic Medicine,Research Grant,458770.0,North East,2018
5972,University of Southampton,School of Physics and Astronomy,Training Grant,296087.0,South East,2018
5973,University of Leeds,School of Earth and Environment,Research Grant,265184.0,Yorkshire and The Humber,2017
5974,Lancaster University,Division of Biomedical and Life Sciences,Research Grant,527179.0,North West,2015
5975,Scottish Association For Marine Science,Contracts Office,Research Grant,2058218.0,Scotland,2017
5976,University of Oxford,Zoology,Research Grant,106721.0,South East,2015
5977,Image Analysis Limited,,Collaborative R&D,456488.0,London,2017
5978,University of Kent,Sch of Physical Sciences,Research Grant,100834.0,South East,2018
5979,Powervault Ltd,,Collaborative R&D,305716.0,London,2018
5980,University of Edinburgh,Sch of Biological Sciences,Training Grant,99034.0,Scotland,2018
5981,Lancaster University,Lancaster Environment Centre,Fellowship,755202.0,North West,2016
5982,Ford Motor Company Limited,,Collaborative R&D,812885.0,South East,2018
5983,University of York,History,Research Grant,161605.0,Yorkshire and The Humber,2017
5984,City University London,Sch of Engineering and Mathematical Sci,Research Grant,331178.0,London,2016
5985,Transport Systems Catapult,,CRD,19236000.0,South East,2018
5986,King's College London,Wolfson Centre for Age Related Diseases,Research Grant,447885.0,London,2017
5987,Aston University,Sch of Life and Health Sciences,Training Grant,94126.0,West Midlands,2014
5988,University College London,School of Pharmacy,Research Grant,382956.0,London,2016
5989,University of Cambridge,Public Health and Primary Care,Fellowship,451154.0,East of England,2018
5990,University College London,Office of Vice Provost Research,Training Grant,4187448.0,London,2017
5991,Meyouandus Ltd,,Small Business Research Initiative,343000.0,Unknown,2018
5992,Alcove Limited,,CRD,68927.0,London,2018
5993,University of Warwick,School of Life Sciences,Research Grant,938378.0,West Midlands,2016
5994,Royal Botanic Gardens Kew,Natural Capital and Plant Health,Research Grant,62410.0,London,2017
5995,King's College London,Immunology Infection and Inflam Diseases,Research Grant,454011.0,London,2016
5996,Swansea University,School of Engineering,Research Grant,6580123.0,Wales,2017
5997,University of Cambridge,MRC Epidemiology Unit,Research Grant,427191.0,East of England,2017
5998,University College London,Chemical Engineering,Research Grant,544759.0,London,2015
5999,University of Bristol,Computer Science,Research Grant,22019.0,South West,2018
6000,Cute Circuit Ltd,,CRD,41759.0,London,2018
6001,University College London,Institute of Child Health,Research Grant,359463.0,London,2018
6002,University of Manchester,Physics and Astronomy,Research Grant,245063.0,North West,2016
6003,University of Cambridge,Institute of Astronomy,Research Grant,43591.0,East of England,2018
6004,Imperial College London,Dept of Mechanical Engineering,Research Grant,1686762.0,London,2018
6005,Heriot-Watt University,"Sch of Energy, Geosci, Infrast & Society",Research Grant,357756.0,Scotland,2018
6006,University of Warwick,WMG,Training Grant,823776.0,West Midlands,2013
6007,University of Manchester,Chem Eng and Analytical Science,Training Grant,98212.0,North West,2017
6008,Green Biologics Limited,,Collaborative R&D,333036.0,South East,2018
6009,Earlham Institute,Research Faculty,Research Grant,20216.0,East of England,2017
6010,University of Oxford,Oxford Chemistry,Research Grant,1363647.0,South East,2016
6011,Moorfields Eye Hosp NHS Foundation Trust,NIHR BMRC for Ophthalmology,Research Grant,6336970.0,London,2017
6012,Prism Nova Limited,,Collaborative R&D,67461.0,Unknown,2017
6013,University of Surrey,Vision Speech and Signal Proc CVSSP,Research Grant,971921.0,South East,2018
6014,King's College London,Imaging & Biomedical Engineering,Training Grant,107034.0,London,2018
6015,University of Manchester,Physics and Astronomy,Research Grant,318946.0,North West,2016
6016,National Oceanography Centre,Science and Technology,Research Grant,23890656.0,South East,2018
6017,University of Exeter,Engineering Computer Science and Maths,Research Grant,738578.0,South West,2016
6018,University of Oxford,Sir William Dunn Sch of Pathology,Research Grant,381083.0,South East,2018
6019,University of Surrey,Finance and Financial Management,Training Grant,1145229.0,South East,2014
6020,NERC British Antarctic Survey,Science Programmes,Fellowship,587936.0,East of England,2014
6021,University of Sheffield,Automatic Control and Systems Eng,Research Grant,1607561.0,Yorkshire and The Humber,2018
6022,University of Glasgow,Research and Enterprise,Training Grant,1025000.0,Scotland,2017
6023,University of Oxford,,CRD,1999524.0,South East,2018
6024,Babcock Integrated Technology Limited,,Collaborative R&D,694453.0,London,2016
6025,Manchester Metropolitan University,,Knowledge Transfer Partnership,180095.0,North West,2017
6026,Cranfield University,"Sch of Aerospace, Transport & Manufact",Research Grant,254037.0,East of England,2017
6027,University of Aberdeen,Inst of Biological and Environmental Sci,Research Grant,635600.0,Scotland,2016
6028,University of Cambridge,Engineering,Research Grant,2499395.0,East of England,2016
6029,University of Manchester,Mechanical Aerospace and Civil Eng,Research Grant,338502.0,North West,2018
6030,University of Southampton,School of Physics and Astronomy,Training Grant,364955.0,South East,2017
6031,University of Liverpool,Student Administration and Support,Training Grant,1715329.0,North West,2014
6032,Amec Foster Wheeler Nuclear UK Limited,,Small Business Research Initiative,1497239.0,North West,2018
6033,University of Oxford,Oxford Physics,Research Grant,40487.0,South East,2017
6034,Newcastle University,Sch of Engineering,Research Grant,303038.0,North East,2014
6035,Invitron Limited,,Collaborative R&D,443550.0,Wales,2017
6036,University of West London,"London School of Film , Media and Design",Fellowship,103564.0,London,2018
6037,University of Bristol,Physics,Research Grant,347463.0,South West,2016
6038,University of Southampton,School of Humanities,Research Grant,664928.0,South East,2017
6039,King's College London,Women's Health,Research Grant,529868.0,London,2016
6040,University of Oxford,Oxford Physics,Research Grant,720430.0,South East,2013
6041,University of Cambridge,Biochemistry,Research Grant,551300.0,East of England,2015
6042,Lancaster University,Physics,Training Grant,280258.0,North West,2017
6043,University College London,Computer Science,Fellowship,992538.0,London,2016
6044,Beran Instruments Limited,,Collaborative R&D,565322.0,South West,2015
6045,Heriot-Watt University,"Sch of Energy, Geosci, Infrast & Society",Research Grant,344250.0,Scotland,2016
6046,Bournemouth University,Faculty of Media and Communication,Research Grant,200878.0,South West,2018
6047,Cardiff University,School of Physics and Astronomy,Fellowship,316632.0,Wales,2015
6048,University of Oxford,Geography - SoGE,Research Grant,239031.0,South East,2016
6049,University of East Anglia,Mathematics,Research Grant,126967.0,East of England,2016
6050,University of Oxford,Biomedical Imaging CDT,Training Grant,3868694.0,South East,2014
6051,University of Leeds,Civil Engineering,Research Grant,1403699.0,Yorkshire and The Humber,2014
6052,National Oceanography Centre,Science and Technology,Research Grant,6934488.0,South East,2017
6053,University of Nottingham,Faculty of Engineering,Research Grant,508049.0,East Midlands,2018
6054,University of Glasgow,Business School,Research Grant,572791.0,Scotland,2018
6055,University of Leeds,Sch of Molecular & Cellular Biology,Research Grant,622319.0,Yorkshire and The Humber,2018
6056,University of Sheffield,Chemical & Biological Engineering,Research Grant,18443.0,Yorkshire and The Humber,2018
6057,University of Cambridge,Physics,Research Grant,421895.0,East of England,2018
6058,University of Bristol,Biological Sciences,Research Grant,308796.0,South West,2017
6059,Aberystwyth University,IBERS,Research Grant,548306.0,Wales,2018
6060,Afimilk UK Limited,,Collaborative R&D,399420.0,Scotland,2015
6061,Bangor University,Sch of Natural Sciences,Research Grant,439983.0,Wales,2014
6062,University of Cambridge,Plant Sciences,Research Grant,406036.0,East of England,2017
6063,University of Exeter,English,Research Grant,633984.0,South West,2017
6064,Newcastle University,Sch of Engineering,Research Grant,575474.0,North East,2018
6065,Imperial College London,Life Sciences,Research Grant,641891.0,London,2018
6066,University of Bristol,Electrical and Electronic Engineering,Research Grant,3630821.0,South West,2018
6067,University of Oxford,The Jenner Institute,Research Grant,2228194.0,South East,2017
6068,University of Oxford,Earth Sciences,Research Grant,887691.0,South East,2017
6069,University of York,Computer Science,Research Grant,990454.0,Yorkshire and The Humber,2016
6070,Lancaster University,,Knowledge Transfer Partnership,166902.0,North West,2015
6071,Compound Semiconductor Technologies Global Limited,,Collaborative R&D,783020.0,Scotland,2017
6072,Aberystwyth University,IBERS,Training Grant,95042.0,Wales,2015
6073,Jaguar Land Rover Limited,,Collaborative R&D,3702120.0,West Midlands,2017
6074,Skipping Rocks Lab Limited,,Feasibility Studies,69826.0,London,2018
6075,Queen's University of Belfast,Centre for Experimental Medicine,Fellowship,236276.0,Northern Ireland,2018
6076,Edge Hill University,Geography,Research Grant,381023.0,North West,2018
6077,University of Sheffield,Information School,Research Grant,239767.0,Yorkshire and The Humber,2018
6078,ULEMCO Ltd,,Collaborative R&D,402375.0,North West,2017
6079,Eagle Genomics Limited,,Collaborative R&D,1668588.0,East Midlands,2018
6080,University of Leeds,Sch of Geography,Research Grant,74371.0,Yorkshire and The Humber,2017
6081,The Natural History Museum,Life Sciences,Research Grant,240951.0,London,2017
6082,University of East Anglia,Environmental Sciences,Research Grant,454823.0,East of England,2017
6083,King's College London,Health Service and Population Research,Research Grant,2022814.0,London,2018
6084,University of St Andrews,Psychology,Research Grant,331919.0,Scotland,2016
6085,University of Birmingham,Sch of Biosciences,Research Grant,638057.0,West Midlands,2014
6086,University of Edinburgh,The Roslin Institute,Research Grant,175351.0,Scotland,2017
6087,University of Bristol,Mathematics,Fellowship,662565.0,South West,2016
6088,University of Leeds,Sch of Molecular & Cellular Biology,Training Grant,10864458.0,Yorkshire and The Humber,2015
6089,"Royal Holloway, University of London",Economics,Research Grant,233556.0,South East,2017
6090,University College London,Computer Science,Research Grant,969096.0,London,2016
6091,Northumbria University,Fac of Engineering and Environment,Research Grant,33905.0,North East,2018
6092,University of Exeter,Geography,Research Grant,259312.0,South West,2017
6093,"Royal Holloway, University of London",Information Security,Training Grant,3793545.0,South East,2013
6094,University of Liverpool,Institute of Integrative Biology,Research Grant,98133.0,North West,2017
6095,Fitnessgenes Ltd,,Feasibility Studies,49097.0,South East,2018
6096,University of York,Education,Research Grant,106694.0,Yorkshire and The Humber,2018
6097,University of Manchester,School of Medical Sciences,Research Grant,4160524.0,North West,2013
6098,University of Sheffield,Biomedical Science,Research Grant,4704456.0,Yorkshire and The Humber,2014
6099,University of Liverpool,Physics,Research Grant,161611.0,North West,2017
6100,University of Strathclyde,Inst of Pharmacy and Biomedical Sci,Research Grant,696736.0,Scotland,2016
6101,University College London,Medical Physics and Biomedical Eng,Research Grant,99905.0,London,2017
6102,University of Dundee,Systems Medicine,Research Grant,750046.0,Scotland,2017
6103,Powervault Ltd,,Feasibility Studies,69392.0,London,2018
6104,Braintrain2020 Limited,,Feasibility Studies,324023.0,Yorkshire and The Humber,2017
6105,King's College London,Informatics,Research Grant,1012657.0,London,2018
6106,Firma Engineering Limited,,Feasibility Studies,79000.0,East Midlands,2017
6107,Blueprint Product Design Limited,,Feasibility Studies,187385.0,Yorkshire and The Humber,2017
6108,Imperial College London,School of Public Health,Research Grant,1988964.0,London,2018
6109,University of Surrey,ATI Electronics,Research Grant,398623.0,South East,2016
6110,Durham University,Chemistry,Research Grant,343879.0,North East,2016
6111,University College London,"Bartlett Sch of Env, Energy & Resources",Research Grant,5938853.0,London,2017
6112,University of Bath,Psychology,Research Grant,433281.0,South West,2017
6113,Newcastle University,"Sch of Maths, Statistics and Physics",Research Grant,155797.0,North East,2018
6114,Arete Medical Technologies Ltd,,Feasibility Studies,68236.0,Unknown,2018
6115,University of Leeds,School of Earth and Environment,Training Grant,6721058.0,Yorkshire and The Humber,2014
6116,University of Warwick,School of Life Sciences,Research Grant,352504.0,West Midlands,2016
6117,University of Manchester,Chemistry,Research Grant,273319.0,North West,2018
6118,University of Bristol,Biological Sciences,Research Grant,220572.0,South West,2016
6119,University of Leeds,Sch of Chemistry,Research Grant,741346.0,Yorkshire and The Humber,2018
6120,University of Oxford,Pharmacology,Research Grant,611894.0,South East,2016
6121,University College London,Chemistry,Research Grant,389767.0,London,2016
6122,University of Glasgow,School of Geographical & Earth Sciences,Research Grant,91361.0,Scotland,2017
6123,"Queen Mary, University of London",Research Support Services,Training Grant,139048.0,London,2014
6124,The Pirbright Institute,Avian Viral Diseases,Research Grant,447561.0,South East,2018
