,LeadROName,Department,ProjectCategory,AwardPounds,Region,year
131,Aston University,Unlisted,Training Grant,496316.0,West Midlands,2018
132,University of Liverpool,Chemistry,Research Grant,10000000.0,North West,2017
133,King's College London,Cancer Studies,Research Grant,71879.0,London,2018
134,University of Sussex,Research Finance,Training Grant,406646.0,South East,2014
135,Harper Adams University,Crops and Environment Sciences,Training Grant,95042.0,West Midlands,2015
136,University College London,Physics and Astronomy,Research Grant,316000.0,London,2018
137,University of Reading,Meteorology,Research Grant,626133.0,South East,2017
138,AccuRx Limited,,Collaborative R&D,398735.0,London,2017
139,The Pirbright Institute,Livestock Viral Diseases,Training Grant,95042.0,South East,2015
140,SRUC,Research,Research Grant,278781.0,Scotland,2018
141,Orthox Limited,,Collaborative R&D,1493192.0,South East,2015
142,University of Liverpool,Institute of Infection and Global Health,Research Grant,274977.0,North West,2018
143,Northumbria University,Fac of Engineering and Environment,Research Grant,60152.0,North East,2017
144,Durham University,Physics,Research Grant,157381.0,North East,2018
145,King's College London,Research Grants & Contracts,Training Grant,81430.0,London,2016
146,Altenergis Plc,,Feasibility Studies,169761.0,London,2017
147,University College London,Physics and Astronomy,Research Grant,1308813.0,London,2018
148,University of Oxford,,BIS-Funded Programmes,6125255.0,South East,2018
149,University of Birmingham,"Sch of Geography, Earth & Env Sciences",Research Grant,442072.0,West Midlands,2014
150,Newcastle University,Institute of Neuroscience,Other Grant,4980966.0,North East,2014
151,University of Liverpool,Chemistry,Fellowship,627696.0,North West,2018
152,Bfb Labs Ltd,,Collaborative R&D,325031.0,London,2018
153,University of Essex,Biological Sciences,Research Grant,622134.0,East of England,2017
154,Cranfield University,"School of Water, Energy and Environment",Research Grant,901298.0,East of England,2018
155,University of Oxford,Mathematical Institute,Research Grant,3000000.0,South East,2016
156,Diamond Light Source,Science Division,Research Grant,585001.0,South East,2015
157,University of Strathclyde,Electronic and Electrical Engineering,Research Grant,230626.0,Scotland,2017
158,King's College London,Physics,Research Grant,340644.0,London,2015
159,University of Kent,Sch of Engineering & Digital Arts,Research Grant,1289915.0,South East,2018
160,Emblation Limited,,Collaborative R&D,282632.0,Scotland,2017
161,King's College London,Chemistry,Fellowship,300106.0,London,2016
162,London Sch of Hygiene and Trop Medicine,Unlisted,Research Grant,851864.0,London,2018
163,University of Cambridge,Materials Science & Metallurgy,Research Grant,390057.0,East of England,2015
164,King's College London,Social Genetic and Dev Psychiatry Centre,Research Grant,513560.0,London,2016
165,Avanti Communications Limited,,Collaborative R&D,2075472.0,London,2015
166,University of Warwick,Politics and International Studies,Research Grant,345074.0,West Midlands,2016
167,University of York,Chemistry,Research Grant,400601.0,Yorkshire and The Humber,2015
168,King's College London,Psychology,Research Grant,159944.0,London,2018
169,Northumbria University,Fac of Health and Life Sciences,Research Grant,164123.0,North East,2017
170,Far UK Ltd,,Collaborative R&D,1409129.0,East Midlands,2017
171,Xyz Reality Limited,,Feasibility Studies,430652.0,Unknown,2018
172,University of Birmingham,Sch of Biosciences,Research Grant,1455452.0,West Midlands,2013
173,Lancaster University,Mathematics and Statistics,Research Grant,2656400.0,North West,2018
174,University of Southampton,Optoelectronics Research Centre (ORC),Research Grant,6009330.0,South East,2013
175,Lancaster University,Engineering,Research Grant,211449.0,North West,2017
176,University of Glasgow,"College of Medical, Veterinary &Life Sci",Research Grant,224752.0,Scotland,2016
177,University College London,Institute of Cognitive Neuroscience,Research Grant,523801.0,London,2015
178,Imperial College London,Life Sciences,Research Grant,1311117.0,London,2018
179,Leeds Beckett University,,Knowledge Transfer Partnership,80207.0,Yorkshire and The Humber,2017
180,University of Leicester,"Sch of Geog, Geol & the Environment",Research Grant,52315.0,East Midlands,2015
181,University of Kent,Sch of Computing,Research Grant,273996.0,South East,2016
182,University of Glasgow,School of Physics and Astronomy,Training Grant,1514614.0,Scotland,2015
183,University of Bath,Biology and Biochemistry,Training Grant,99034.0,South West,2018
184,B-Hive Innovations Limited,,CRD,510688.0,East Midlands,2018
185,University of Exeter,Engineering Computer Science and Maths,Research Grant,624706.0,South West,2016
186,University of Glasgow,College of Science and Engineering,Fellowship,425506.0,Scotland,2014
187,University of Southampton,School of Chemistry,Research Grant,557184.0,South East,2016
188,University of Sheffield,Politics,Research Grant,220347.0,Yorkshire and The Humber,2016
189,University of Dundee,Geography and Environmental Science,Research Grant,396996.0,Scotland,2012
190,University of Manchester,School of Medical Sciences,Training Grant,94126.0,North West,2015
191,University of Exeter,Biosciences,Fellowship,211072.0,South West,2018
